evaluations raw_y
1 0.8486082824
2 1.5151515152
30 1.5923566879
32 1.6425755585
33 1.9747235387
71 2.3277467412
363 2.5562372188
515 2.9411764706
2671 3.1172069825
3346 3.3156498674
3845 3.4626038781
5002 1.1825922422
evaluations raw_y
1 1.0477787091
3 1.4318442153
21 1.7146776406
34 1.8355359765
50 1.8796992481
118 2.1663778163
141 2.4366471735
775 3.1806615776
781 3.6231884058
5002 1.4863258026
evaluations raw_y
1 0.6849315068
2 1.5605493134
9 1.6600265604
26 1.7531556802
53 1.7730496454
57 1.8142235123
74 2.3629489603
185 2.4366471735
347 2.5987525988
372 2.7839643653
612 3.0562347188
744 3.1172069825
1382 3.2467532468
2535 3.5410764873
2801 3.6231884058
3980 3.8940809969
5002 2.0259319287
evaluations raw_y
1 1.5151515152
10 1.5762925599
42 1.7337031900
70 2.5562372188
273 2.7839643653
438 3.2467532468
467 3.3156498674
5002 1.3572204126
evaluations raw_y
1 0.6561679790
2 1.3455328310
6 1.4723203769
15 1.5299877601
19 1.9260400616
211 2.3277467412
313 2.4752475248
364 2.7352297593
374 2.8344671202
381 3.0562347188
475 3.3156498674
1562 3.3875338753
1891 3.7091988131
3784 3.9936102236
4628 4.2087542088
4735 4.5787545788
5002 1.6425755585
evaluations raw_y
1 1.2487512488
3 1.6254876463
6 1.7146776406
22 1.7934002869
44 2.0798668885
48 2.2603978300
139 2.4366471735
182 2.5987525988
267 2.6427061311
496 3.3875338753
600 3.4626038781
5002 1.8796992481
evaluations raw_y
1 0.8973438622
2 0.9944311854
3 1.5923566879
5 1.6254876463
6 1.7934002869
15 1.8573551263
19 2.0000000000
94 2.2281639929
237 2.2603978300
247 2.3629489603
282 2.9976019185
4772 3.1806615776
5002 1.1230907457
evaluations raw_y
1 0.7730364873
2 1.2487512488
4 1.4060742407
5 1.9025875190
53 2.1968365554
73 2.6881720430
544 3.0562347188
5002 0.9184423218
evaluations raw_y
1 1.4723203769
3 1.5451174289
7 1.6254876463
48 1.8573551263
56 2.0000000000
219 2.4752475248
420 2.5987525988
509 3.1806615776
2504 3.2467532468
3205 3.3875338753
5002 1.3340448239
evaluations raw_y
1 1.3572204126
4 1.3691128149
9 1.6087516088
14 2.2281639929
166 2.3629489603
207 2.4366471735
263 2.4752475248
267 2.7839643653
1304 2.9976019185
1926 3.1806615776
2315 3.5410764873
3234 3.6231884058
5002 1.2007684918
