evaluations raw_y
1 1.3455328310
7 1.5006002401
10 1.5151515152
23 1.8142235123
271 1.9260400616
272 2.1968365554
954 2.3629489603
2040 2.5987525988
3887 2.6427061311
4925 2.7352297593
5105 0.5960896519
evaluations raw_y
1 1.6254876463
36 1.9260400616
62 1.9747235387
238 2.0259319287
487 2.1367521368
591 2.2281639929
1077 2.5150905433
1589 2.5987525988
3140 2.6881720430
5105 1.1563367253
evaluations raw_y
1 1.5923566879
25 2.3277467412
92 2.4366471735
178 2.5987525988
5070 2.6427061311
5105 0.8132726090
evaluations raw_y
1 1.6087516088
4 1.7531556802
8 1.7934002869
29 2.0798668885
238 2.1079258010
491 2.1367521368
564 2.3992322457
1472 2.4366471735
1520 2.7352297593
2813 2.8344671202
5105 0.7692307692
evaluations raw_y
1 1.5605493134
69 1.8573551263
168 2.2603978300
443 2.9976019185
5105 0.9881422925
evaluations raw_y
1 1.4863258026
10 1.6087516088
14 1.7934002869
41 1.8142235123
54 1.9747235387
103 2.0259319287
139 2.0798668885
499 2.2603978300
576 2.2935779817
649 2.4366471735
1054 2.5150905433
3138 2.8344671202
5105 1.5762925599
evaluations raw_y
1 0.8771929825
2 1.3812154696
6 1.5605493134
10 1.9747235387
23 2.0259319287
201 2.1968365554
518 2.2281639929
1226 2.8868360277
5105 0.9578544061
evaluations raw_y
1 1.0548523207
5 1.4188422247
63 1.5605493134
68 1.5762925599
69 1.7337031900
134 1.7934002869
136 1.8573551263
246 2.1367521368
759 2.3629489603
1357 3.2467532468
5105 1.2690355330
evaluations raw_y
1 1.3935340022
22 1.5151515152
25 1.5762925599
31 1.8796992481
37 2.0259319287
159 2.2935779817
230 2.3992322457
584 2.4366471735
1329 2.4752475248
2382 2.5150905433
2461 2.8344671202
3433 2.8868360277
5105 0.9881422925
evaluations raw_y
1 1.2794268168
7 1.3812154696
8 1.4188422247
11 1.4318442153
25 1.6425755585
31 1.9500780031
35 2.2603978300
75 2.3629489603
461 2.4752475248
3724 3.1806615776
5105 1.1649580615
