evaluations raw_y
1 0.8305647841
2 0.9881422925
3 1.0407993339
4 1.2487512488
5 1.6425755585
32 2.1079258010
67 2.1968365554
849 2.5150905433
900 2.5987525988
1208 2.7352297593
1488 2.8344671202
1898 2.9976019185
3034 3.0562347188
3447 3.3156498674
4143 3.4626038781
4354 3.5410764873
4458 3.6231884058
4502 3.9936102236
5002 3.9936102236
evaluations raw_y
1 0.8922198430
2 1.0407993339
4 1.4723203769
8 1.5605493134
13 1.6960651289
24 2.1079258010
42 2.1367521368
76 2.2603978300
156 2.4366471735
1627 2.5150905433
1817 2.5987525988
3309 2.7352297593
3575 2.8868360277
4250 2.9976019185
5002 2.9976019185
evaluations raw_y
1 1.2388503469
8 1.4585764294
20 1.5151515152
27 1.5762925599
32 1.7531556802
111 2.1663778163
126 2.2935779817
141 3.2467532468
870 3.5410764873
909 4.0983606557
3760 4.7169811321
3902 4.8638132296
5002 4.8638132296
evaluations raw_y
1 1.5923566879
6 1.8355359765
91 1.9500780031
123 2.1968365554
331 2.5987525988
347 2.8868360277
1019 3.2467532468
1636 3.3156498674
1781 3.7993920973
5002 3.7993920973
evaluations raw_y
1 1.2899896801
7 1.5451174289
20 2.4366471735
1049 2.5150905433
1668 2.9411764706
1912 2.9976019185
2463 3.1172069825
2546 3.6231884058
5002 3.6231884058
evaluations raw_y
1 1.3455328310
3 1.4723203769
16 1.6254876463
30 1.8573551263
58 1.9747235387
97 2.2281639929
124 2.2935779817
154 2.5150905433
752 2.9976019185
1232 3.3875338753
5002 3.3875338753
evaluations raw_y
1 1.0407993339
4 1.3935340022
14 1.9025875190
47 2.3629489603
81 2.6427061311
129 3.1806615776
556 3.8940809969
5002 3.8940809969
evaluations raw_y
1 0.8674531575
2 1.1394712853
3 1.4450867052
7 1.5151515152
13 1.7531556802
27 1.9500780031
68 2.0798668885
77 2.2281639929
181 2.3629489603
486 2.4366471735
596 2.5987525988
860 2.8868360277
1008 3.3156498674
1265 3.4626038781
5002 3.4626038781
evaluations raw_y
1 1.1825922422
3 1.2690355330
5 2.0525451560
186 2.1367521368
191 2.1663778163
206 2.2281639929
216 2.3277467412
224 2.4752475248
327 2.5150905433
343 2.5562372188
580 2.7839643653
860 2.8344671202
5002 2.8344671202
evaluations raw_y
1 1.0477787091
3 1.1649580615
4 1.3227513228
5 1.6425755585
11 1.7337031900
20 1.8573551263
29 1.9747235387
86 2.1079258010
129 2.1367521368
140 2.3992322457
162 2.5150905433
323 2.9976019185
508 3.1806615776
2894 3.5410764873
3045 3.6231884058
5002 3.6231884058
