evaluations raw_y
1 -181.0000000000
18 -167.0000000000
23 -107.0000000000
46 -95.0000000000
48 -94.0000000000
53 -87.0000000000
74 -81.0000000000
78 -67.0000000000
79 -42.0000000000
100 -29.0000000000
118 -28.0000000000
132 -15.0000000000
147 -10.0000000000
180 -3.0000000000
181 3.0000000000
261 4.0000000000
330 5.0000000000
656 6.0000000000
5002 -14.0000000000
evaluations raw_y
1 -369.0000000000
5 -315.0000000000
6 -181.0000000000
22 -168.0000000000
24 -155.0000000000
29 -135.0000000000
48 -102.0000000000
65 -75.0000000000
86 -68.0000000000
89 -48.0000000000
98 -41.0000000000
102 -22.0000000000
118 -16.0000000000
149 -15.0000000000
154 -3.0000000000
194 3.0000000000
212 4.0000000000
298 5.0000000000
392 6.0000000000
957 7.0000000000
5002 -40.0000000000
evaluations raw_y
1 -423.0000000000
6 -343.0000000000
17 -336.0000000000
19 -289.0000000000
20 -262.0000000000
41 -235.0000000000
44 -214.0000000000
54 -201.0000000000
65 -188.0000000000
72 -182.0000000000
74 -181.0000000000
92 -174.0000000000
103 -168.0000000000
112 -162.0000000000
119 -155.0000000000
124 -134.0000000000
131 -115.0000000000
140 -88.0000000000
149 -82.0000000000
151 -75.0000000000
162 -68.0000000000
176 -55.0000000000
185 -48.0000000000
210 -35.0000000000
226 -29.0000000000
230 -22.0000000000
381 -10.0000000000
433 -9.0000000000
435 -3.0000000000
466 -2.0000000000
529 4.0000000000
619 5.0000000000
795 6.0000000000
5002 -14.0000000000
evaluations raw_y
1 -450.0000000000
2 -436.0000000000
3 -335.0000000000
6 -269.0000000000
19 -235.0000000000
27 -228.0000000000
33 -182.0000000000
41 -181.0000000000
55 -161.0000000000
71 -155.0000000000
75 -148.0000000000
80 -128.0000000000
97 -95.0000000000
119 -75.0000000000
134 -74.0000000000
138 -68.0000000000
158 -48.0000000000
188 -42.0000000000
199 -35.0000000000
222 -9.0000000000
251 -3.0000000000
308 2.0000000000
328 4.0000000000
355 5.0000000000
466 6.0000000000
4143 7.0000000000
5002 -34.0000000000
evaluations raw_y
1 -470.0000000000
2 -355.0000000000
4 -275.0000000000
10 -235.0000000000
20 -208.0000000000
23 -202.0000000000
33 -182.0000000000
46 -168.0000000000
58 -161.0000000000
61 -134.0000000000
96 -114.0000000000
97 -74.0000000000
127 -60.0000000000
137 -47.0000000000
176 -27.0000000000
218 -21.0000000000
245 -14.0000000000
342 -8.0000000000
367 -2.0000000000
536 4.0000000000
622 5.0000000000
1103 6.0000000000
5002 -7.0000000000
evaluations raw_y
1 -430.0000000000
2 -376.0000000000
3 -248.0000000000
14 -221.0000000000
25 -201.0000000000
34 -174.0000000000
48 -168.0000000000
50 -161.0000000000
52 -88.0000000000
73 -81.0000000000
79 -49.0000000000
85 -35.0000000000
96 -29.0000000000
111 -15.0000000000
179 -8.0000000000
210 -2.0000000000
215 4.0000000000
703 5.0000000000
5002 5.0000000000
evaluations raw_y
1 -713.0000000000
2 -349.0000000000
3 -255.0000000000
31 -235.0000000000
36 -215.0000000000
41 -181.0000000000
44 -148.0000000000
60 -141.0000000000
69 -134.0000000000
74 -114.0000000000
86 -95.0000000000
97 -88.0000000000
104 -81.0000000000
105 -68.0000000000
123 -61.0000000000
146 -55.0000000000
155 -48.0000000000
160 -35.0000000000
176 -10.0000000000
182 -3.0000000000
212 -2.0000000000
243 2.0000000000
279 4.0000000000
355 5.0000000000
434 6.0000000000
495 7.0000000000
5002 -67.0000000000
evaluations raw_y
1 -578.0000000000
2 -504.0000000000
4 -450.0000000000
5 -349.0000000000
21 -342.0000000000
22 -282.0000000000
32 -262.0000000000
33 -256.0000000000
53 -216.0000000000
59 -202.0000000000
78 -169.0000000000
97 -149.0000000000
122 -129.0000000000
148 -102.0000000000
165 -95.0000000000
170 -69.0000000000
183 -62.0000000000
191 -41.0000000000
215 -36.0000000000
240 -15.0000000000
294 -9.0000000000
299 -8.0000000000
311 -2.0000000000
354 3.0000000000
470 5.0000000000
536 6.0000000000
5002 6.0000000000
evaluations raw_y
1 -342.0000000000
5 -261.0000000000
7 -208.0000000000
13 -194.0000000000
22 -182.0000000000
23 -168.0000000000
31 -142.0000000000
45 -135.0000000000
50 -129.0000000000
56 -122.0000000000
73 -115.0000000000
80 -95.0000000000
86 -42.0000000000
131 -35.0000000000
144 -2.0000000000
197 4.0000000000
400 5.0000000000
495 6.0000000000
5002 -67.0000000000
evaluations raw_y
1 -436.0000000000
3 -369.0000000000
25 -349.0000000000
33 -302.0000000000
39 -295.0000000000
49 -275.0000000000
65 -255.0000000000
97 -235.0000000000
118 -215.0000000000
119 -161.0000000000
130 -128.0000000000
155 -108.0000000000
163 -88.0000000000
204 -81.0000000000
236 -55.0000000000
282 -49.0000000000
293 -35.0000000000
313 -28.0000000000
326 -16.0000000000
375 -14.0000000000
378 -1.0000000000
491 5.0000000000
601 6.0000000000
818 7.0000000000
5002 -20.0000000000
