evaluations raw_y
1 0.7163323782
2 0.9462528388
3 0.9944311854
5 1.4723203769
8 1.7146776406
52 2.1663778163
143 2.3992322457
342 2.5562372188
2704 2.8344671202
2837 3.6231884058
5002 1.0548523207
evaluations raw_y
1 0.9819324430
4 1.4723203769
8 1.6087516088
16 1.6254876463
33 1.6425755585
41 2.0798668885
192 2.1079258010
222 2.5150905433
692 2.7352297593
1268 2.8344671202
1522 2.8868360277
1753 2.9411764706
1920 3.0562347188
5002 2.1663778163
evaluations raw_y
1 1.2588116818
5 1.4060742407
23 1.7337031900
29 1.8796992481
78 1.9500780031
90 2.0798668885
132 2.1968365554
420 2.3992322457
832 2.4366471735
1063 2.6881720430
2366 2.7352297593
4424 2.9976019185
4553 3.0562347188
5002 1.1150758252
evaluations raw_y
1 0.8090614887
2 0.8440243079
3 0.9697439876
4 1.5151515152
41 1.6960651289
55 1.7146776406
63 1.7337031900
81 1.9025875190
106 2.2603978300
117 2.6427061311
528 2.7352297593
1271 2.7839643653
1732 3.0562347188
3134 3.1806615776
5002 0.9077705156
evaluations raw_y
1 1.0204081633
3 1.2690355330
4 1.4863258026
21 1.7934002869
32 1.9025875190
88 2.0525451560
106 2.2603978300
253 2.5562372188
1185 2.9411764706
1659 3.3156498674
2378 3.4626038781
5002 1.4188422247
evaluations raw_y
1 1.0548523207
2 2.0798668885
53 2.1968365554
252 2.5150905433
825 3.1172069825
1338 3.2467532468
4872 3.3156498674
5002 1.4318442153
evaluations raw_y
1 0.9462528388
2 1.6254876463
6 1.8573551263
14 2.0798668885
38 2.3992322457
163 2.4366471735
351 2.9411764706
3804 3.4626038781
5002 0.6731287022
evaluations raw_y
1 0.6971556051
2 1.2588116818
6 1.5299877601
33 1.8796992481
49 2.0525451560
171 2.4366471735
456 2.4752475248
672 2.7352297593
1153 2.9411764706
1677 2.9976019185
1999 3.1806615776
3911 3.7993920973
5002 1.4863258026
evaluations raw_y
1 1.0620220901
3 1.1916110582
9 1.3812154696
12 1.5006002401
14 1.6600265604
21 2.3277467412
251 2.5150905433
289 2.6427061311
577 2.7839643653
1070 3.4626038781
5002 0.7966857871
evaluations raw_y
1 1.3227513228
2 1.6254876463
5 1.8796992481
22 2.0000000000
155 2.0525451560
191 2.1968365554
379 2.3629489603
414 2.4366471735
633 2.9411764706
730 2.9976019185
3012 3.3875338753
5002 0.7692307692
