evaluations raw_y
1 -350.0000000000
4 -349.0000000000
5 -268.0000000000
18 -262.0000000000
22 -241.0000000000
30 -221.0000000000
38 -214.0000000000
308 -161.0000000000
565 -148.0000000000
572 -82.0000000000
856 -75.0000000000
1255 -74.0000000000
1439 -68.0000000000
1458 -56.0000000000
1598 -55.0000000000
1689 -42.0000000000
2127 -34.0000000000
2598 -28.0000000000
3661 -15.0000000000
4179 -2.0000000000
5025 -42.0000000000
evaluations raw_y
1 -234.0000000000
56 -195.0000000000
116 -180.0000000000
318 -168.0000000000
374 -160.0000000000
510 -148.0000000000
552 -94.0000000000
753 -88.0000000000
882 -81.0000000000
995 -75.0000000000
1111 -68.0000000000
1227 -61.0000000000
1449 -55.0000000000
1733 -29.0000000000
2766 -15.0000000000
3429 -10.0000000000
3567 -9.0000000000
4011 -3.0000000000
5025 -141.0000000000
evaluations raw_y
1 -382.0000000000
5 -329.0000000000
12 -262.0000000000
31 -207.0000000000
93 -195.0000000000
316 -181.0000000000
350 -167.0000000000
419 -127.0000000000
532 -115.0000000000
780 -89.0000000000
1085 -88.0000000000
1108 -82.0000000000
1135 -41.0000000000
1892 -35.0000000000
2454 -34.0000000000
2731 -22.0000000000
2787 -2.0000000000
5025 -122.0000000000
evaluations raw_y
1 -652.0000000000
2 -544.0000000000
3 -349.0000000000
7 -342.0000000000
8 -262.0000000000
48 -249.0000000000
65 -214.0000000000
103 -174.0000000000
356 -147.0000000000
709 -141.0000000000
717 -74.0000000000
1168 -55.0000000000
1212 -42.0000000000
1348 -41.0000000000
1646 -16.0000000000
2898 -14.0000000000
3257 -9.0000000000
3933 -8.0000000000
4369 -3.0000000000
5025 -81.0000000000
evaluations raw_y
1 -335.0000000000
6 -315.0000000000
12 -295.0000000000
26 -181.0000000000
383 -161.0000000000
464 -128.0000000000
580 -115.0000000000
603 -114.0000000000
776 -94.0000000000
1087 -81.0000000000
1243 -75.0000000000
1297 -74.0000000000
1608 -62.0000000000
1698 -61.0000000000
1793 -28.0000000000
2945 -23.0000000000
3040 -22.0000000000
3257 -2.0000000000
5025 -81.0000000000
evaluations raw_y
1 -376.0000000000
2 -249.0000000000
7 -241.0000000000
101 -182.0000000000
178 -161.0000000000
356 -155.0000000000
416 -88.0000000000
762 -68.0000000000
843 -48.0000000000
1363 -14.0000000000
3042 -10.0000000000
4201 -8.0000000000
4285 -7.0000000000
5000 -4.0000000000
5025 -161.0000000000
evaluations raw_y
1 -355.0000000000
2 -282.0000000000
4 -263.0000000000
8 -261.0000000000
20 -254.0000000000
60 -215.0000000000
83 -160.0000000000
332 -155.0000000000
371 -147.0000000000
398 -135.0000000000
455 -109.0000000000
532 -74.0000000000
853 -61.0000000000
1477 -56.0000000000
1609 -48.0000000000
2059 -41.0000000000
2086 -28.0000000000
2352 -27.0000000000
2400 -21.0000000000
2950 -9.0000000000
4146 -3.0000000000
4750 2.0000000000
5025 -94.0000000000
evaluations raw_y
1 -490.0000000000
2 -369.0000000000
4 -262.0000000000
11 -242.0000000000
115 -221.0000000000
134 -188.0000000000
150 -127.0000000000
493 -121.0000000000
550 -101.0000000000
728 -81.0000000000
833 -74.0000000000
942 -62.0000000000
1472 -47.0000000000
1880 -43.0000000000
2038 -42.0000000000
2134 -34.0000000000
2249 -28.0000000000
2580 -23.0000000000
2612 -9.0000000000
4087 -8.0000000000
4586 -3.0000000000
5025 -82.0000000000
evaluations raw_y
1 -537.0000000000
2 -477.0000000000
3 -255.0000000000
16 -228.0000000000
54 -141.0000000000
337 -94.0000000000
519 -67.0000000000
911 -60.0000000000
1001 -48.0000000000
1376 -8.0000000000
2733 -2.0000000000
5025 -154.0000000000
evaluations raw_y
1 -329.0000000000
5 -235.0000000000
220 -228.0000000000
251 -222.0000000000
259 -214.0000000000
333 -208.0000000000
358 -195.0000000000
482 -155.0000000000
528 -75.0000000000
1037 -74.0000000000
1116 -68.0000000000
1238 -48.0000000000
2004 -47.0000000000
2428 -42.0000000000
2508 -28.0000000000
2760 -23.0000000000
3204 -16.0000000000
3622 -9.0000000000
5025 -122.0000000000
