evaluations raw_y
1 1.2588116818
4 1.3340448239
8 1.5451174289
39 1.7531556802
56 1.9747235387
127 2.0000000000
138 2.5562372188
305 2.6881720430
537 2.7839643653
959 3.1172069825
1153 3.1806615776
1471 3.2467532468
1795 3.4626038781
5002 3.4626038781
evaluations raw_y
1 0.9697439876
2 1.5451174289
9 1.6254876463
27 1.8142235123
41 2.1367521368
100 2.2281639929
647 2.3629489603
674 2.5562372188
716 2.5987525988
746 2.7839643653
766 3.0562347188
834 3.2467532468
1814 3.5410764873
3272 4.0983606557
5002 4.0983606557
evaluations raw_y
1 1.0271158587
3 1.2588116818
10 1.3572204126
13 1.4188422247
14 1.6960651289
49 2.0798668885
165 2.2281639929
236 2.2603978300
270 2.3629489603
371 2.3992322457
381 2.7352297593
402 2.8868360277
462 3.3156498674
887 3.6231884058
5002 2.5150905433
evaluations raw_y
1 1.1563367253
11 1.5299877601
19 1.5451174289
21 1.6600265604
52 2.0525451560
75 2.6881720430
411 3.3156498674
688 3.7091988131
5002 3.7091988131
evaluations raw_y
1 0.8261731659
2 1.7337031900
12 1.8142235123
103 1.9260400616
130 2.3277467412
160 2.3992322457
760 2.4752475248
1075 2.6427061311
1250 2.7352297593
1392 2.8868360277
1835 2.9976019185
2721 3.3875338753
5002 3.3875338753
evaluations raw_y
1 0.7130633200
2 1.3572204126
16 1.6778523490
45 1.6960651289
88 1.9500780031
100 2.2935779817
354 2.4366471735
411 2.6427061311
497 2.7839643653
555 3.0562347188
719 3.1172069825
875 3.9936102236
5002 3.9936102236
evaluations raw_y
1 1.4060742407
5 1.8796992481
125 2.1079258010
283 2.2603978300
290 2.3992322457
294 2.4366471735
410 2.5150905433
568 2.5987525988
789 2.6427061311
1179 2.8344671202
1344 2.9976019185
1501 3.2467532468
1570 3.3156498674
1941 3.8940809969
5002 3.8940809969
evaluations raw_y
1 1.2007684918
2 1.2588116818
3 1.3116474292
5 1.4863258026
6 1.5299877601
7 1.6600265604
18 1.6960651289
34 1.7934002869
46 1.9747235387
59 2.1079258010
130 2.1663778163
226 2.1968365554
261 2.3629489603
384 2.4366471735
688 2.5150905433
3869 2.6427061311
5002 2.6427061311
evaluations raw_y
1 1.4863258026
6 1.6600265604
20 1.8142235123
32 1.9260400616
55 1.9500780031
65 1.9747235387
71 2.0798668885
166 2.2603978300
243 2.3992322457
264 2.5562372188
266 2.7352297593
302 2.9411764706
1882 3.1172069825
2073 3.2467532468
5002 3.2467532468
evaluations raw_y
1 1.3116474292
2 1.6254876463
6 1.9260400616
121 2.2281639929
137 2.4752475248
483 2.6881720430
898 2.8344671202
2087 3.1806615776
2625 3.2467532468
5002 2.3629489603
