evaluations raw_y
1 0.8305647841
2 1.6960651289
30 1.9260400616
186 2.3277467412
214 2.3992322457
415 2.6427061311
841 2.6881720430
901 2.9411764706
1607 3.3156498674
1712 3.6231884058
1788 3.9936102236
2424 4.0983606557
2481 4.3252595156
3279 4.5787545788
5019 4.5787545788
evaluations raw_y
1 0.7926442613
2 1.0477787091
3 1.2588116818
5 1.5006002401
9 1.5299877601
14 1.5923566879
25 1.6600265604
66 2.2603978300
663 2.2935779817
717 2.3992322457
747 2.4752475248
910 2.5562372188
1039 2.6881720430
1071 2.7839643653
1976 3.1172069825
2521 3.2467532468
5019 3.2467532468
evaluations raw_y
1 1.0008006405
5 1.2690355330
8 1.4450867052
15 1.6425755585
21 2.0259319287
96 2.1367521368
315 2.2281639929
477 2.4752475248
712 2.9411764706
1334 3.0562347188
1348 3.1172069825
1738 3.2467532468
2238 3.4626038781
5019 3.4626038781
evaluations raw_y
1 1.0917030568
3 1.4188422247
12 2.0525451560
117 2.6881720430
797 3.1172069825
2943 3.8940809969
3751 4.2087542088
5019 4.2087542088
evaluations raw_y
1 1.6425755585
15 1.7531556802
29 2.1367521368
115 2.1968365554
177 2.3277467412
213 2.4752475248
924 3.0562347188
1097 3.2467532468
5019 3.2467532468
evaluations raw_y
1 1.1649580615
2 1.3935340022
3 1.4723203769
12 1.8573551263
165 2.2603978300
462 2.3277467412
562 2.3629489603
565 2.7839643653
850 3.0562347188
1491 3.1806615776
1650 3.4626038781
4433 3.5410764873
5019 3.5410764873
evaluations raw_y
1 1.2291052114
6 1.3007284079
13 1.4060742407
26 1.4585764294
27 1.6778523490
37 2.1367521368
140 2.1968365554
153 2.3629489603
806 2.3992322457
1043 2.4366471735
1226 2.7839643653
1374 2.8344671202
1477 3.5410764873
4083 3.7091988131
5019 3.7091988131
evaluations raw_y
1 0.7471607890
2 0.9462528388
3 0.9758001561
4 1.6254876463
7 1.7531556802
34 1.9500780031
145 1.9747235387
147 2.0525451560
183 2.5562372188
1091 2.6427061311
1226 2.7352297593
1991 2.9976019185
2635 3.3875338753
5019 3.3875338753
evaluations raw_y
1 1.1649580615
4 1.3935340022
22 1.4723203769
68 1.6600265604
97 1.7730496454
188 1.9747235387
213 2.1663778163
231 2.2935779817
342 2.4752475248
736 2.7839643653
792 2.8344671202
1099 2.9411764706
1155 3.1806615776
1543 3.4626038781
5019 3.4626038781
evaluations raw_y
1 0.7263219059
2 1.6778523490
38 1.7730496454
90 1.8573551263
97 2.0525451560
139 2.2281639929
262 2.2935779817
289 2.8344671202
1115 3.4626038781
1709 3.9936102236
5019 3.9936102236
