evaluations raw_y
1 -289.0000000000
13 -195.0000000000
67 -167.0000000000
136 -161.0000000000
152 -135.0000000000
161 -127.0000000000
244 -88.0000000000
371 -81.0000000000
402 -61.0000000000
452 -54.0000000000
560 -41.0000000000
752 -35.0000000000
923 -29.0000000000
978 -10.0000000000
1296 -9.0000000000
1360 -3.0000000000
1502 1.0000000000
1536 3.0000000000
1678 5.0000000000
6613 6.0000000000
50000 -22.0000000000
evaluations raw_y
1 -490.0000000000
2 -436.0000000000
3 -296.0000000000
5 -281.0000000000
37 -268.0000000000
56 -241.0000000000
80 -228.0000000000
88 -221.0000000000
108 -188.0000000000
126 -181.0000000000
183 -175.0000000000
196 -161.0000000000
222 -154.0000000000
272 -148.0000000000
277 -147.0000000000
334 -141.0000000000
355 -134.0000000000
396 -100.0000000000
505 -74.0000000000
623 -54.0000000000
746 -48.0000000000
922 -42.0000000000
979 -40.0000000000
1062 -22.0000000000
1123 -16.0000000000
1148 -9.0000000000
1221 -3.0000000000
1621 -1.0000000000
1869 3.0000000000
2302 4.0000000000
2593 5.0000000000
5160 6.0000000000
12958 7.0000000000
50000 -108.0000000000
