evaluations raw_y
1 -531.0000000000
2 -524.0000000000
3 -443.0000000000
5 -315.0000000000
11 -269.0000000000
30 -215.0000000000
35 -181.0000000000
92 -174.0000000000
94 -127.0000000000
165 -114.0000000000
214 -109.0000000000
266 -102.0000000000
269 -94.0000000000
284 -75.0000000000
302 -29.0000000000
441 -28.0000000000
442 -22.0000000000
503 -17.0000000000
534 -16.0000000000
545 -14.0000000000
576 -10.0000000000
589 -9.0000000000
611 -3.0000000000
671 -2.0000000000
697 3.0000000000
858 4.0000000000
1496 5.0000000000
1715 6.0000000000
5001 -74.0000000000
evaluations raw_y
1 -227.0000000000
95 -168.0000000000
127 -154.0000000000
192 -108.0000000000
200 -107.0000000000
219 -94.0000000000
239 -69.0000000000
288 -56.0000000000
320 -42.0000000000
324 -23.0000000000
358 -16.0000000000
415 -4.0000000000
420 -3.0000000000
628 3.0000000000
709 4.0000000000
1470 5.0000000000
1629 6.0000000000
4342 7.0000000000
5001 -89.0000000000
evaluations raw_y
1 -477.0000000000
2 -221.0000000000
54 -174.0000000000
76 -161.0000000000
102 -127.0000000000
147 -81.0000000000
197 -62.0000000000
300 -61.0000000000
336 -35.0000000000
404 -30.0000000000
430 -3.0000000000
715 -2.0000000000
736 4.0000000000
781 6.0000000000
2134 7.0000000000
5001 -13.0000000000
evaluations raw_y
1 -369.0000000000
2 -275.0000000000
4 -195.0000000000
51 -168.0000000000
123 -167.0000000000
139 -128.0000000000
205 -95.0000000000
222 -75.0000000000
276 -68.0000000000
402 -62.0000000000
411 -56.0000000000
412 -49.0000000000
414 -42.0000000000
443 -29.0000000000
451 -15.0000000000
579 -2.0000000000
646 -1.0000000000
721 3.0000000000
778 4.0000000000
897 5.0000000000
2176 6.0000000000
5001 -15.0000000000
evaluations raw_y
1 -416.0000000000
3 -322.0000000000
9 -248.0000000000
51 -222.0000000000
53 -221.0000000000
70 -214.0000000000
89 -181.0000000000
114 -154.0000000000
141 -141.0000000000
163 -128.0000000000
188 -107.0000000000
208 -87.0000000000
215 -81.0000000000
294 -68.0000000000
299 -67.0000000000
306 -47.0000000000
366 -41.0000000000
399 -30.0000000000
407 -24.0000000000
536 -22.0000000000
542 -17.0000000000
554 -15.0000000000
608 -5.0000000000
622 -4.0000000000
640 -2.0000000000
695 4.0000000000
928 5.0000000000
1466 6.0000000000
2444 7.0000000000
5001 -20.0000000000
evaluations raw_y
1 -376.0000000000
3 -235.0000000000
28 -221.0000000000
71 -208.0000000000
88 -194.0000000000
97 -188.0000000000
102 -181.0000000000
132 -154.0000000000
149 -141.0000000000
197 -114.0000000000
235 -100.0000000000
236 -61.0000000000
321 -54.0000000000
343 -35.0000000000
346 -21.0000000000
483 -8.0000000000
487 -3.0000000000
505 -2.0000000000
624 2.0000000000
660 4.0000000000
1002 5.0000000000
1496 6.0000000000
2242 7.0000000000
5001 -6.0000000000
evaluations raw_y
1 -275.0000000000
4 -235.0000000000
96 -215.0000000000
123 -188.0000000000
157 -142.0000000000
167 -102.0000000000
227 -87.0000000000
261 -42.0000000000
331 -30.0000000000
398 -23.0000000000
409 -16.0000000000
455 -9.0000000000
482 3.0000000000
876 4.0000000000
903 5.0000000000
2030 6.0000000000
5001 -14.0000000000
evaluations raw_y
1 -463.0000000000
2 -349.0000000000
3 -295.0000000000
6 -288.0000000000
54 -261.0000000000
59 -202.0000000000
104 -194.0000000000
105 -174.0000000000
133 -135.0000000000
153 -128.0000000000
163 -101.0000000000
244 -68.0000000000
293 -49.0000000000
305 -16.0000000000
458 -15.0000000000
474 -9.0000000000
551 3.0000000000
711 4.0000000000
1126 5.0000000000
1658 6.0000000000
2986 7.0000000000
5001 -40.0000000000
evaluations raw_y
1 -504.0000000000
2 -396.0000000000
3 -390.0000000000
6 -336.0000000000
13 -302.0000000000
21 -282.0000000000
25 -241.0000000000
43 -201.0000000000
49 -181.0000000000
93 -148.0000000000
121 -135.0000000000
141 -101.0000000000
201 -95.0000000000
247 -87.0000000000
257 -82.0000000000
260 -74.0000000000
284 -41.0000000000
392 -29.0000000000
428 -9.0000000000
538 -2.0000000000
745 4.0000000000
881 5.0000000000
1838 6.0000000000
5001 -34.0000000000
evaluations raw_y
1 -430.0000000000
2 -321.0000000000
5 -275.0000000000
52 -254.0000000000
67 -208.0000000000
119 -148.0000000000
125 -115.0000000000
225 -100.0000000000
238 -60.0000000000
354 -54.0000000000
355 -42.0000000000
382 -40.0000000000
409 -34.0000000000
483 -28.0000000000
507 -16.0000000000
583 -10.0000000000
584 -9.0000000000
647 -2.0000000000
684 -1.0000000000
686 3.0000000000
747 4.0000000000
1325 5.0000000000
1764 6.0000000000
5001 -15.0000000000
