evaluations raw_y
1 -497.0000000000
2 -443.0000000000
4 -328.0000000000
6 -302.0000000000
9 -288.0000000000
29 -275.0000000000
45 -241.0000000000
73 -235.0000000000
98 -167.0000000000
229 -162.0000000000
362 -141.0000000000
393 -134.0000000000
449 -128.0000000000
452 -121.0000000000
491 -108.0000000000
510 -107.0000000000
537 -82.0000000000
572 -62.0000000000
709 -61.0000000000
782 -48.0000000000
811 -42.0000000000
845 -30.0000000000
931 -22.0000000000
1094 -16.0000000000
1110 -9.0000000000
1514 -4.0000000000
1528 4.0000000000
2159 5.0000000000
5000 -23.0000000000
evaluations raw_y
1 -396.0000000000
2 -302.0000000000
5 -221.0000000000
99 -201.0000000000
107 -181.0000000000
114 -168.0000000000
147 -134.0000000000
153 -120.0000000000
254 -114.0000000000
277 -81.0000000000
325 -68.0000000000
496 -61.0000000000
543 -54.0000000000
563 -34.0000000000
729 -29.0000000000
758 -22.0000000000
793 -21.0000000000
1080 -2.0000000000
1478 4.0000000000
2364 5.0000000000
3110 6.0000000000
5000 5.0000000000
evaluations raw_y
1 -470.0000000000
2 -336.0000000000
3 -162.0000000000
109 -155.0000000000
112 -101.0000000000
311 -82.0000000000
520 -80.0000000000
525 -42.0000000000
632 -30.0000000000
703 -21.0000000000
940 -16.0000000000
951 3.0000000000
1472 4.0000000000
1748 5.0000000000
4609 6.0000000000
5000 -74.0000000000
