evaluations raw_y
1 0.7654623393
3 1.3812154696
6 1.6087516088
20 1.7730496454
73 2.0259319287
193 2.0525451560
211 2.1968365554
332 2.5562372188
1838 2.8344671202
2228 2.9411764706
3170 2.9976019185
3440 3.1806615776
3561 3.3156498674
3779 3.3875338753
4053 3.5410764873
4509 3.6231884058
5011 2.3277467412
evaluations raw_y
1 1.0993843448
2 1.9025875190
29 2.0798668885
87 2.2603978300
236 2.3629489603
434 2.5987525988
1902 2.8344671202
2166 2.9976019185
3583 3.0562347188
3828 3.3875338753
4074 3.5410764873
5011 1.6254876463
evaluations raw_y
1 1.4188422247
8 1.8142235123
9 1.9500780031
93 2.0000000000
148 2.0259319287
215 2.0798668885
269 2.1968365554
476 2.2603978300
555 2.5150905433
878 2.5562372188
1374 2.7352297593
2203 3.1806615776
3136 3.4626038781
3595 3.5410764873
3968 3.8940809969
4119 3.9936102236
5011 2.5150905433
evaluations raw_y
1 1.0271158587
2 1.3572204126
3 1.4863258026
13 1.9025875190
39 1.9747235387
63 2.0259319287
107 2.1663778163
382 2.2281639929
540 2.4366471735
1037 2.5987525988
1310 2.6427061311
1413 2.6881720430
1795 2.7839643653
1830 2.8868360277
1873 2.9411764706
2028 2.9976019185
2264 3.3156498674
2815 3.9936102236
3221 4.7169811321
5011 1.8573551263
evaluations raw_y
1 1.0917030568
6 1.0993843448
7 1.6087516088
52 1.9260400616
85 2.1663778163
345 2.3629489603
1115 2.5150905433
1955 2.6427061311
2305 2.9411764706
2755 3.7091988131
5011 2.7839643653
evaluations raw_y
1 1.3227513228
13 1.5451174289
18 1.7337031900
51 2.1663778163
99 2.2281639929
437 2.2935779817
592 2.3629489603
843 2.9411764706
2218 3.0562347188
5011 2.2935779817
evaluations raw_y
1 1.0271158587
2 1.7146776406
14 1.7730496454
52 2.0798668885
92 2.1663778163
143 2.4752475248
492 2.5562372188
643 2.8868360277
1645 2.9411764706
1719 3.1172069825
2438 3.5410764873
3038 3.7091988131
3343 3.8940809969
5011 1.8573551263
evaluations raw_y
1 1.0766580534
2 1.3691128149
4 1.7934002869
13 2.1968365554
122 2.2281639929
284 2.2935779817
369 2.3629489603
379 2.5150905433
690 2.6881720430
913 2.7839643653
996 2.8868360277
1668 2.9411764706
1899 3.1172069825
1983 3.3156498674
2158 3.7091988131
4244 3.7993920973
5011 2.7352297593
evaluations raw_y
1 0.5538325210
2 1.2487512488
5 1.3455328310
10 1.5762925599
12 1.6778523490
21 1.7730496454
59 1.8573551263
128 2.3992322457
144 2.8344671202
618 3.2467532468
3853 3.4626038781
4250 3.5410764873
5011 2.4752475248
evaluations raw_y
1 0.8821453776
3 1.2388503469
5 1.3455328310
15 1.9025875190
106 2.1367521368
379 2.3277467412
773 2.3629489603
967 2.6881720430
1127 3.2467532468
1152 3.8940809969
2552 4.2087542088
5011 3.7993920973
evaluations raw_y
1 1.3455328310
4 1.3572204126
7 1.3812154696
13 1.4188422247
32 1.5451174289
42 1.6087516088
77 1.6778523490
111 1.6960651289
120 1.8796992481
145 1.9747235387
259 2.2935779817
306 2.6427061311
1235 2.7839643653
1415 2.8868360277
1509 3.1172069825
1620 3.4626038781
2373 3.9936102236
3165 4.2087542088
5011 1.6600265604
evaluations raw_y
1 1.2195121951
4 1.6087516088
31 1.9025875190
54 1.9747235387
72 2.0000000000
359 2.1079258010
399 2.1367521368
571 2.3277467412
723 2.3629489603
1489 2.4366471735
1581 2.7839643653
3445 2.8868360277
3806 3.0562347188
3844 3.1172069825
3996 3.1806615776
4114 3.2467532468
4303 3.4626038781
4541 3.7091988131
5011 2.4366471735
evaluations raw_y
1 1.2487512488
2 1.4585764294
3 1.6425755585
10 1.7934002869
99 2.0259319287
168 2.3277467412
507 2.3629489603
556 2.4366471735
718 2.7352297593
921 2.8868360277
1768 3.0562347188
2088 3.1172069825
2187 3.3156498674
2212 3.7993920973
5011 3.0562347188
evaluations raw_y
1 1.5605493134
12 1.6254876463
18 1.7337031900
32 1.9747235387
115 2.1367521368
151 2.3992322457
459 2.5150905433
1119 2.5562372188
1561 3.0562347188
2491 3.2467532468
2740 3.3875338753
3441 3.5410764873
3538 3.6231884058
5011 3.2467532468
evaluations raw_y
1 1.3455328310
2 1.4060742407
3 1.4188422247
8 1.5151515152
10 2.0000000000
115 2.3277467412
130 2.5562372188
767 2.8344671202
1423 2.8868360277
2361 3.1806615776
2968 3.2467532468
3556 3.3875338753
4028 3.4626038781
4233 4.3252595156
5011 3.1172069825
evaluations raw_y
1 1.0477787091
2 1.1825922422
3 1.8573551263
98 1.8796992481
132 2.2935779817
282 2.3629489603
313 2.7839643653
579 3.2467532468
1109 3.3875338753
1567 3.8940809969
1715 3.9936102236
5011 2.4366471735
evaluations raw_y
1 1.1563367253
6 1.3812154696
7 1.7146776406
13 2.0525451560
133 2.3629489603
298 2.5987525988
541 2.9411764706
2095 3.1806615776
2948 3.5410764873
3257 4.0983606557
4206 4.2087542088
5011 4.2087542088
evaluations raw_y
1 0.8973438622
2 0.9819324430
3 1.5605493134
11 1.7146776406
42 1.8796992481
75 1.9747235387
155 2.1367521368
301 2.2281639929
409 2.3992322457
594 2.4752475248
2004 2.6427061311
2059 3.0562347188
2882 3.3156498674
3384 3.3875338753
4057 3.9936102236
5011 1.9747235387
evaluations raw_y
1 1.4450867052
4 1.7146776406
11 1.7934002869
63 1.9260400616
192 2.4366471735
321 2.5150905433
752 2.8868360277
1990 3.1172069825
2645 3.6231884058
3468 4.0983606557
3688 4.2087542088
5011 2.2935779817
evaluations raw_y
1 1.1150758252
3 1.9747235387
10 2.0525451560
28 2.1663778163
468 2.5987525988
1244 2.7839643653
2083 2.8344671202
2240 3.0562347188
2477 3.1172069825
2597 3.3875338753
5011 1.2388503469
