evaluations raw_y
1 -356.0000000000
4 -322.0000000000
17 -316.0000000000
21 -208.0000000000
88 -188.0000000000
120 -168.0000000000
160 -163.0000000000
166 -161.0000000000
185 -128.0000000000
212 -75.0000000000
281 -62.0000000000
383 -55.0000000000
426 -49.0000000000
442 -48.0000000000
448 -16.0000000000
639 -10.0000000000
640 -9.0000000000
665 -2.0000000000
699 2.0000000000
751 4.0000000000
1297 5.0000000000
1449 6.0000000000
5005 -40.0000000000
evaluations raw_y
1 -484.0000000000
2 -423.0000000000
3 -342.0000000000
5 -274.0000000000
27 -268.0000000000
59 -241.0000000000
74 -234.0000000000
84 -227.0000000000
88 -222.0000000000
96 -214.0000000000
117 -187.0000000000
122 -168.0000000000
181 -167.0000000000
182 -154.0000000000
244 -141.0000000000
263 -121.0000000000
274 -87.0000000000
288 -74.0000000000
357 -61.0000000000
418 -54.0000000000
424 -35.0000000000
542 -29.0000000000
559 -28.0000000000
564 -10.0000000000
637 -9.0000000000
697 -3.0000000000
725 -2.0000000000
791 2.0000000000
860 3.0000000000
950 4.0000000000
1053 5.0000000000
2061 6.0000000000
5005 6.0000000000
evaluations raw_y
1 -308.0000000000
7 -295.0000000000
9 -282.0000000000
13 -241.0000000000
35 -214.0000000000
55 -175.0000000000
67 -174.0000000000
80 -148.0000000000
92 -121.0000000000
143 -101.0000000000
170 -88.0000000000
238 -81.0000000000
254 -49.0000000000
308 -47.0000000000
324 -35.0000000000
370 -34.0000000000
394 -29.0000000000
416 -28.0000000000
429 -10.0000000000
471 -9.0000000000
494 -3.0000000000
566 -2.0000000000
595 1.0000000000
689 3.0000000000
696 4.0000000000
745 5.0000000000
754 6.0000000000
5005 5.0000000000
evaluations raw_y
1 -531.0000000000
2 -376.0000000000
4 -369.0000000000
9 -362.0000000000
13 -315.0000000000
15 -241.0000000000
89 -227.0000000000
97 -208.0000000000
116 -188.0000000000
137 -174.0000000000
172 -168.0000000000
180 -155.0000000000
219 -154.0000000000
221 -108.0000000000
236 -107.0000000000
315 -101.0000000000
316 -94.0000000000
318 -47.0000000000
370 -22.0000000000
577 -16.0000000000
580 -3.0000000000
764 4.0000000000
1537 5.0000000000
2477 6.0000000000
5005 6.0000000000
evaluations raw_y
1 -389.0000000000
3 -369.0000000000
4 -349.0000000000
13 -275.0000000000
49 -221.0000000000
53 -174.0000000000
102 -121.0000000000
236 -74.0000000000
317 -68.0000000000
359 -67.0000000000
406 -55.0000000000
419 -41.0000000000
507 -34.0000000000
571 -29.0000000000
583 -28.0000000000
598 -14.0000000000
609 -9.0000000000
726 -3.0000000000
773 -1.0000000000
790 3.0000000000
912 4.0000000000
1020 5.0000000000
1154 6.0000000000
1388 7.0000000000
5005 6.0000000000
evaluations raw_y
1 -416.0000000000
2 -410.0000000000
3 -322.0000000000
5 -288.0000000000
54 -248.0000000000
63 -235.0000000000
104 -115.0000000000
181 -88.0000000000
238 -48.0000000000
411 -41.0000000000
423 -16.0000000000
427 -9.0000000000
511 -1.0000000000
618 4.0000000000
767 5.0000000000
973 6.0000000000
1424 7.0000000000
5005 7.0000000000
evaluations raw_y
1 -403.0000000000
4 -362.0000000000
10 -269.0000000000
13 -201.0000000000
65 -187.0000000000
89 -147.0000000000
198 -127.0000000000
209 -107.0000000000
261 -101.0000000000
262 -88.0000000000
334 -68.0000000000
401 -42.0000000000
438 -22.0000000000
546 -9.0000000000
601 -3.0000000000
741 -2.0000000000
833 4.0000000000
901 5.0000000000
1597 6.0000000000
5005 6.0000000000
evaluations raw_y
1 -134.0000000000
114 -121.0000000000
164 -114.0000000000
180 -80.0000000000
284 -67.0000000000
354 -41.0000000000
413 -28.0000000000
501 -16.0000000000
513 -10.0000000000
523 3.0000000000
747 4.0000000000
1092 5.0000000000
2187 6.0000000000
3389 7.0000000000
5005 -20.0000000000
evaluations raw_y
1 -544.0000000000
2 -322.0000000000
8 -302.0000000000
41 -228.0000000000
69 -181.0000000000
101 -169.0000000000
122 -167.0000000000
129 -82.0000000000
201 -61.0000000000
210 -35.0000000000
355 -29.0000000000
409 -28.0000000000
425 -22.0000000000
495 -16.0000000000
571 -3.0000000000
619 4.0000000000
1094 5.0000000000
1391 6.0000000000
5005 -61.0000000000
evaluations raw_y
1 -403.0000000000
3 -322.0000000000
9 -282.0000000000
12 -268.0000000000
18 -234.0000000000
110 -208.0000000000
114 -188.0000000000
137 -174.0000000000
172 -173.0000000000
199 -134.0000000000
230 -121.0000000000
248 -114.0000000000
255 -88.0000000000
291 -80.0000000000
359 -74.0000000000
366 -69.0000000000
375 -48.0000000000
404 -42.0000000000
435 -41.0000000000
535 -10.0000000000
590 -2.0000000000
774 3.0000000000
884 4.0000000000
1273 5.0000000000
1611 6.0000000000
1895 7.0000000000
5005 7.0000000000
