evaluations raw_y
1 -443.0000000000
3 -383.0000000000
4 -288.0000000000
6 -181.0000000000
23 -154.0000000000
24 -141.0000000000
29 -134.0000000000
36 -128.0000000000
51 -127.0000000000
57 -121.0000000000
58 -108.0000000000
70 -101.0000000000
87 -61.0000000000
163 -47.0000000000
194 -28.0000000000
199 -27.0000000000
242 -16.0000000000
249 -15.0000000000
253 -8.0000000000
285 -2.0000000000
452 4.0000000000
478 5.0000000000
881 6.0000000000
5002 -21.0000000000
evaluations raw_y
1 -241.0000000000
4 -188.0000000000
12 -147.0000000000
18 -128.0000000000
21 -127.0000000000
22 -108.0000000000
27 -88.0000000000
29 -82.0000000000
36 -81.0000000000
40 -75.0000000000
73 -68.0000000000
78 -49.0000000000
98 -41.0000000000
119 -36.0000000000
124 -29.0000000000
129 -28.0000000000
134 -15.0000000000
208 -9.0000000000
233 -2.0000000000
239 4.0000000000
432 5.0000000000
560 6.0000000000
5002 -121.0000000000
evaluations raw_y
1 -416.0000000000
2 -363.0000000000
9 -335.0000000000
14 -288.0000000000
42 -275.0000000000
45 -261.0000000000
46 -234.0000000000
59 -214.0000000000
61 -201.0000000000
62 -194.0000000000
66 -147.0000000000
68 -134.0000000000
82 -128.0000000000
87 -101.0000000000
95 -87.0000000000
136 -75.0000000000
145 -61.0000000000
190 -55.0000000000
194 -48.0000000000
225 -41.0000000000
246 -35.0000000000
281 -23.0000000000
284 -10.0000000000
305 -4.0000000000
332 -3.0000000000
355 3.0000000000
394 4.0000000000
564 5.0000000000
654 6.0000000000
5002 -7.0000000000
evaluations raw_y
1 -409.0000000000
10 -396.0000000000
12 -369.0000000000
15 -342.0000000000
17 -309.0000000000
32 -262.0000000000
40 -235.0000000000
44 -228.0000000000
49 -215.0000000000
56 -208.0000000000
57 -168.0000000000
59 -154.0000000000
77 -148.0000000000
87 -108.0000000000
93 -101.0000000000
106 -95.0000000000
109 -94.0000000000
110 -88.0000000000
117 -87.0000000000
135 -75.0000000000
155 -74.0000000000
169 -61.0000000000
180 -48.0000000000
196 -42.0000000000
262 -35.0000000000
268 -22.0000000000
294 -15.0000000000
314 -3.0000000000
624 3.0000000000
680 4.0000000000
707 5.0000000000
1009 6.0000000000
5002 -7.0000000000
evaluations raw_y
1 -376.0000000000
2 -315.0000000000
14 -275.0000000000
16 -268.0000000000
19 -248.0000000000
25 -201.0000000000
38 -194.0000000000
41 -175.0000000000
47 -168.0000000000
52 -148.0000000000
56 -115.0000000000
73 -108.0000000000
87 -101.0000000000
104 -87.0000000000
109 -82.0000000000
114 -62.0000000000
140 -61.0000000000
166 -22.0000000000
172 -15.0000000000
195 -10.0000000000
295 -3.0000000000
349 2.0000000000
414 3.0000000000
472 4.0000000000
597 5.0000000000
3303 6.0000000000
5002 -61.0000000000
evaluations raw_y
1 -396.0000000000
5 -376.0000000000
11 -356.0000000000
15 -349.0000000000
17 -342.0000000000
23 -302.0000000000
27 -282.0000000000
32 -195.0000000000
43 -188.0000000000
49 -181.0000000000
56 -168.0000000000
60 -154.0000000000
67 -134.0000000000
86 -127.0000000000
96 -87.0000000000
108 -81.0000000000
124 -74.0000000000
125 -54.0000000000
156 -48.0000000000
166 -28.0000000000
200 -21.0000000000
269 -15.0000000000
368 4.0000000000
459 5.0000000000
720 6.0000000000
5002 6.0000000000
evaluations raw_y
1 -443.0000000000
2 -389.0000000000
8 -369.0000000000
11 -349.0000000000
12 -282.0000000000
14 -268.0000000000
17 -221.0000000000
22 -181.0000000000
41 -175.0000000000
42 -94.0000000000
47 -81.0000000000
51 -61.0000000000
80 -47.0000000000
107 -42.0000000000
126 -21.0000000000
134 -1.0000000000
347 5.0000000000
4257 6.0000000000
5002 -81.0000000000
evaluations raw_y
1 -450.0000000000
2 -362.0000000000
3 -356.0000000000
4 -295.0000000000
11 -235.0000000000
15 -174.0000000000
17 -134.0000000000
19 -127.0000000000
42 -108.0000000000
67 -88.0000000000
80 -81.0000000000
101 -74.0000000000
103 -68.0000000000
115 -54.0000000000
129 -48.0000000000
152 -34.0000000000
166 -21.0000000000
219 5.0000000000
424 6.0000000000
5002 -20.0000000000
evaluations raw_y
1 -497.0000000000
2 -450.0000000000
4 -289.0000000000
19 -254.0000000000
28 -248.0000000000
29 -241.0000000000
32 -200.0000000000
37 -187.0000000000
42 -141.0000000000
50 -120.0000000000
57 -73.0000000000
71 -48.0000000000
101 -29.0000000000
115 -16.0000000000
169 -15.0000000000
175 -9.0000000000
240 -2.0000000000
348 4.0000000000
382 5.0000000000
922 6.0000000000
5002 -20.0000000000
evaluations raw_y
1 -194.0000000000
10 -188.0000000000
12 -161.0000000000
15 -101.0000000000
17 -100.0000000000
42 -95.0000000000
45 -94.0000000000
72 -87.0000000000
77 -81.0000000000
114 -68.0000000000
122 -29.0000000000
162 -16.0000000000
214 -15.0000000000
249 -9.0000000000
250 -2.0000000000
287 3.0000000000
295 4.0000000000
625 5.0000000000
5002 -15.0000000000
