evaluations raw_y
1 1.9747235387
18 2.0798668885
102 2.8344671202
2136 2.8868360277
2309 3.1806615776
5010 0.7730364873
evaluations raw_y
1 1.1150758252
2 1.2588116818
5 1.3340448239
10 1.4450867052
17 1.4723203769
20 1.6600265604
44 2.1079258010
185 2.1968365554
254 2.2281639929
282 2.5150905433
477 2.9976019185
1738 3.1172069825
3832 3.1806615776
5010 1.8573551263
evaluations raw_y
1 1.2100677638
2 1.3935340022
4 1.5299877601
20 1.5923566879
37 2.0000000000
171 2.1968365554
432 2.3629489603
832 2.5150905433
925 2.5562372188
1119 2.7352297593
2723 2.7839643653
3169 2.9411764706
3383 2.9976019185
3729 3.0562347188
3957 3.3875338753
5010 1.3340448239
evaluations raw_y
1 1.0477787091
2 1.2794268168
5 1.4723203769
25 1.6087516088
26 1.6960651289
53 2.1079258010
321 2.1663778163
376 2.2281639929
915 2.2603978300
1042 2.4366471735
1175 3.1172069825
1805 3.1806615776
4146 3.4626038781
5010 1.3935340022
evaluations raw_y
1 0.5638249887
2 1.9500780031
104 2.0259319287
110 2.1367521368
125 2.3629489603
288 2.7839643653
394 2.8868360277
950 2.9411764706
5010 1.4188422247
evaluations raw_y
1 1.5923566879
28 1.6087516088
62 1.9747235387
155 2.2603978300
711 2.3277467412
1154 2.5150905433
1825 2.5987525988
2011 2.8344671202
3719 2.8868360277
3863 3.6231884058
5010 1.1649580615
evaluations raw_y
1 0.7654623393
2 0.8579272478
3 0.9293680297
5 1.0841283608
6 1.2487512488
13 1.3455328310
16 2.0259319287
111 2.0525451560
113 2.1367521368
350 2.1968365554
405 2.4752475248
483 2.6881720430
1295 2.7839643653
1979 2.8344671202
2097 2.8868360277
4181 2.9411764706
4859 3.5410764873
5010 1.8355359765
evaluations raw_y
1 2.1367521368
17 2.3629489603
324 2.3992322457
646 2.4366471735
665 2.4752475248
1783 2.5562372188
1953 2.5987525988
2149 2.7839643653
2811 2.8868360277
2870 3.0562347188
3146 3.3156498674
5010 1.6778523490
evaluations raw_y
1 1.0339123242
4 1.5451174289
7 1.5923566879
36 1.8355359765
38 1.9025875190
90 1.9747235387
204 2.4366471735
1589 2.4752475248
1648 2.6881720430
2067 2.8868360277
2086 2.9976019185
2115 3.1172069825
3821 3.3875338753
5010 1.3812154696
evaluations raw_y
1 1.3340448239
2 1.8355359765
127 1.9500780031
260 2.1663778163
338 2.3992322457
388 2.7839643653
1735 3.4626038781
5010 1.1230907457
