evaluations raw_y
1 1.0993843448
4 1.5605493134
12 1.9500780031
63 2.1968365554
126 2.3629489603
197 2.8344671202
273 2.9976019185
571 3.0562347188
643 3.7993920973
1010 4.0983606557
1183 4.4483985765
3590 4.7169811321
4412 5.0200803213
5002 1.1825922422
evaluations raw_y
1 1.0993843448
2 1.1150758252
6 1.1312217195
8 1.5762925599
18 1.8142235123
43 1.9260400616
47 2.2281639929
83 2.4366471735
183 2.4752475248
263 2.5150905433
295 2.5562372188
343 2.8344671202
348 2.9411764706
610 3.1172069825
629 3.1806615776
5002 2.1663778163
evaluations raw_y
1 0.8305647841
2 2.5987525988
121 2.6427061311
269 2.8344671202
392 2.9976019185
398 3.2467532468
523 3.7091988131
5002 3.7091988131
evaluations raw_y
1 1.6600265604
10 2.1968365554
92 2.7352297593
182 2.9411764706
268 3.0562347188
408 3.1806615776
554 3.5410764873
689 4.3252595156
5002 4.3252595156
evaluations raw_y
1 0.7886435331
2 1.1916110582
4 1.3116474292
6 1.6960651289
24 1.8573551263
40 1.9025875190
48 2.2281639929
104 2.4366471735
107 2.6427061311
181 2.9411764706
235 3.3156498674
254 3.3875338753
468 3.6231884058
479 3.7091988131
5002 2.0525451560
evaluations raw_y
1 0.8440243079
2 1.0072522160
4 1.0766580534
5 1.2794268168
7 1.4450867052
11 1.7337031900
52 2.0000000000
137 2.3992322457
181 2.4752475248
184 2.6427061311
323 2.7839643653
512 2.8344671202
655 3.3156498674
1458 3.6231884058
1688 4.2087542088
1876 4.3252595156
2023 5.0200803213
5002 2.1079258010
evaluations raw_y
1 1.0620220901
3 1.0917030568
6 1.2195121951
8 1.2588116818
11 1.7337031900
24 1.7934002869
32 2.0525451560
35 2.2935779817
70 2.5987525988
215 2.7839643653
271 2.9976019185
439 3.1172069825
517 3.7091988131
5002 2.5150905433
evaluations raw_y
1 1.4060742407
10 1.5923566879
19 1.6425755585
22 1.7337031900
37 1.7934002869
68 2.0525451560
88 2.2603978300
145 2.5150905433
147 2.5987525988
363 2.6427061311
394 2.7352297593
408 2.9411764706
428 2.9976019185
580 3.1172069825
673 3.2467532468
5002 2.4366471735
evaluations raw_y
1 1.2291052114
7 1.5006002401
13 1.5923566879
21 1.6254876463
24 1.7337031900
53 1.7730496454
63 1.7934002869
74 1.9260400616
98 2.0525451560
158 2.0798668885
161 2.1367521368
172 2.1968365554
195 2.3629489603
233 2.8344671202
268 2.9976019185
343 3.2467532468
449 3.5410764873
477 3.6231884058
903 3.7091988131
1347 3.8940809969
1598 4.2087542088
2460 4.3252595156
5002 1.2794268168
evaluations raw_y
1 0.6909894970
2 0.9293680297
4 1.0204081633
5 1.3116474292
15 1.7337031900
31 1.7934002869
55 1.9260400616
70 2.0000000000
75 2.0525451560
104 2.1663778163
117 2.6881720430
238 2.8344671202
261 3.1172069825
339 3.2467532468
820 3.4626038781
994 3.5410764873
1828 3.8940809969
4423 4.0983606557
5002 1.4723203769
