evaluations raw_y
1 -336.0000000000
7 -323.0000000000
9 -295.0000000000
10 -221.0000000000
70 -215.0000000000
102 -168.0000000000
155 -141.0000000000
191 -101.0000000000
225 -95.0000000000
302 -67.0000000000
557 -48.0000000000
602 -47.0000000000
743 -41.0000000000
770 -34.0000000000
836 -28.0000000000
900 -23.0000000000
929 -16.0000000000
957 -9.0000000000
1044 -2.0000000000
1477 5.0000000000
3506 6.0000000000
5000 -42.0000000000
evaluations raw_y
1 -484.0000000000
2 -316.0000000000
21 -268.0000000000
28 -208.0000000000
118 -188.0000000000
143 -181.0000000000
177 -168.0000000000
270 -161.0000000000
271 -141.0000000000
375 -114.0000000000
401 -101.0000000000
451 -94.0000000000
460 -88.0000000000
485 -81.0000000000
630 -54.0000000000
699 -48.0000000000
754 -41.0000000000
891 -28.0000000000
1018 -16.0000000000
1246 -10.0000000000
1460 -4.0000000000
1730 -2.0000000000
1825 3.0000000000
2254 5.0000000000
5000 -17.0000000000
evaluations raw_y
1 -409.0000000000
3 -229.0000000000
18 -221.0000000000
36 -187.0000000000
116 -174.0000000000
120 -161.0000000000
154 -147.0000000000
187 -127.0000000000
258 -120.0000000000
302 -107.0000000000
322 -101.0000000000
428 -87.0000000000
502 -47.0000000000
706 -41.0000000000
756 -10.0000000000
1070 -3.0000000000
1266 -2.0000000000
1467 3.0000000000
1584 4.0000000000
3082 5.0000000000
4682 6.0000000000
5000 -9.0000000000
evaluations raw_y
1 -396.0000000000
2 -389.0000000000
6 -228.0000000000
53 -188.0000000000
67 -167.0000000000
94 -141.0000000000
232 -122.0000000000
270 -101.0000000000
295 -95.0000000000
312 -55.0000000000
455 -49.0000000000
581 -41.0000000000
634 -16.0000000000
1103 -8.0000000000
1572 -3.0000000000
1828 2.0000000000
2028 3.0000000000
2141 4.0000000000
3445 5.0000000000
4008 6.0000000000
5000 -102.0000000000
evaluations raw_y
1 -423.0000000000
2 -382.0000000000
5 -289.0000000000
7 -241.0000000000
8 -234.0000000000
82 -215.0000000000
109 -148.0000000000
211 -122.0000000000
