evaluations raw_y
1 -342.0000000000
4 -262.0000000000
22 -208.0000000000
24 -175.0000000000
35 -168.0000000000
60 -148.0000000000
65 -134.0000000000
68 -128.0000000000
82 -101.0000000000
93 -95.0000000000
100 -88.0000000000
107 -82.0000000000
116 -68.0000000000
150 -48.0000000000
213 -35.0000000000
219 -34.0000000000
263 -22.0000000000
319 -9.0000000000
404 4.0000000000
488 5.0000000000
5002 -88.0000000000
evaluations raw_y
1 -288.0000000000
20 -281.0000000000
25 -261.0000000000
29 -221.0000000000
43 -208.0000000000
44 -188.0000000000
46 -167.0000000000
56 -161.0000000000
64 -134.0000000000
84 -128.0000000000
85 -120.0000000000
98 -101.0000000000
102 -94.0000000000
105 -54.0000000000
107 -47.0000000000
131 -41.0000000000
143 -15.0000000000
218 -2.0000000000
275 -1.0000000000
293 5.0000000000
502 6.0000000000
5002 -108.0000000000
evaluations raw_y
1 -490.0000000000
2 -369.0000000000
3 -282.0000000000
21 -261.0000000000
30 -161.0000000000
44 -141.0000000000
66 -114.0000000000
111 -107.0000000000
118 -94.0000000000
120 -88.0000000000
138 -81.0000000000
190 -62.0000000000
192 -41.0000000000
209 -28.0000000000
216 -22.0000000000
242 -15.0000000000
249 -9.0000000000
266 -3.0000000000
330 3.0000000000
431 4.0000000000
484 5.0000000000
618 6.0000000000
5002 6.0000000000
evaluations raw_y
1 -524.0000000000
2 -456.0000000000
3 -396.0000000000
5 -295.0000000000
19 -282.0000000000
20 -268.0000000000
27 -241.0000000000
46 -221.0000000000
66 -208.0000000000
80 -188.0000000000
89 -181.0000000000
92 -82.0000000000
135 -75.0000000000
170 -62.0000000000
178 -29.0000000000
199 -16.0000000000
229 3.0000000000
288 5.0000000000
382 6.0000000000
5002 -14.0000000000
evaluations raw_y
1 -483.0000000000
3 -322.0000000000
6 -302.0000000000
7 -295.0000000000
11 -255.0000000000
17 -221.0000000000
18 -208.0000000000
48 -201.0000000000
81 -174.0000000000
98 -147.0000000000
117 -134.0000000000
124 -115.0000000000
128 -81.0000000000
148 -74.0000000000
163 -48.0000000000
193 -36.0000000000
205 -29.0000000000
218 -23.0000000000
221 -15.0000000000
317 -9.0000000000
324 -2.0000000000
396 3.0000000000
415 4.0000000000
426 5.0000000000
2515 6.0000000000
5002 -8.0000000000
evaluations raw_y
1 -538.0000000000
2 -295.0000000000
23 -228.0000000000
48 -208.0000000000
49 -127.0000000000
85 -87.0000000000
100 -67.0000000000
149 -47.0000000000
178 -7.0000000000
280 -1.0000000000
312 5.0000000000
464 6.0000000000
508 7.0000000000
5002 -33.0000000000
evaluations raw_y
1 -282.0000000000
9 -248.0000000000
27 -228.0000000000
29 -215.0000000000
34 -208.0000000000
44 -201.0000000000
45 -189.0000000000
48 -168.0000000000
55 -161.0000000000
57 -134.0000000000
59 -108.0000000000
73 -101.0000000000
76 -95.0000000000
79 -87.0000000000
100 -81.0000000000
119 -61.0000000000
135 -48.0000000000
161 -41.0000000000
181 -28.0000000000
213 -15.0000000000
217 -3.0000000000
279 -2.0000000000
318 4.0000000000
347 5.0000000000
2983 6.0000000000
5002 -34.0000000000
evaluations raw_y
1 -355.0000000000
3 -336.0000000000
6 -315.0000000000
7 -221.0000000000
22 -181.0000000000
40 -147.0000000000
60 -134.0000000000
70 -114.0000000000
103 -101.0000000000
116 -95.0000000000
121 -88.0000000000
130 -68.0000000000
165 -61.0000000000
185 -54.0000000000
199 -49.0000000000
219 -29.0000000000
238 -22.0000000000
244 -21.0000000000
247 -15.0000000000
280 -9.0000000000
314 -3.0000000000
382 -2.0000000000
393 4.0000000000
428 5.0000000000
5002 -8.0000000000
evaluations raw_y
1 -362.0000000000
3 -256.0000000000
19 -209.0000000000
30 -142.0000000000
42 -135.0000000000
57 -122.0000000000
63 -114.0000000000
66 -95.0000000000
73 -68.0000000000
96 -62.0000000000
101 -49.0000000000
154 -42.0000000000
160 -36.0000000000
167 -22.0000000000
171 -17.0000000000
195 -9.0000000000
215 -2.0000000000
235 3.0000000000
324 4.0000000000
490 5.0000000000
769 6.0000000000
3718 7.0000000000
5002 6.0000000000
evaluations raw_y
1 -356.0000000000
4 -315.0000000000
19 -288.0000000000
23 -254.0000000000
27 -241.0000000000
30 -221.0000000000
43 -215.0000000000
48 -207.0000000000
58 -181.0000000000
59 -175.0000000000
71 -161.0000000000
75 -141.0000000000
79 -101.0000000000
101 -94.0000000000
118 -68.0000000000
166 -55.0000000000
177 -49.0000000000
195 -36.0000000000
196 -29.0000000000
233 -23.0000000000
269 -22.0000000000
288 -11.0000000000
309 -10.0000000000
326 -9.0000000000
354 -4.0000000000
357 -3.0000000000
412 -2.0000000000
464 3.0000000000
513 4.0000000000
552 5.0000000000
641 6.0000000000
5002 5.0000000000
