evaluations raw_y
1 1.4060742407
3 1.5762925599
30 2.0000000000
245 2.1367521368
265 2.7839643653
663 3.2467532468
1806 3.7091988131
2750 3.7993920973
5002 2.5987525988
evaluations raw_y
1 1.7337031900
67 1.9025875190
79 2.0525451560
293 2.3629489603
426 2.3992322457
469 2.5987525988
924 2.9411764706
1155 2.9976019185
1386 3.2467532468
1446 3.3875338753
1624 3.8940809969
1680 4.3252595156
2591 4.4483985765
4876 4.7169811321
5002 1.6425755585
evaluations raw_y
1 0.7807620237
2 1.0477787091
4 1.2388503469
8 1.3935340022
11 2.0000000000
74 2.3277467412
210 2.3992322457
272 2.7352297593
558 2.8868360277
717 3.0562347188
818 3.1172069825
911 3.7091988131
1561 3.7993920973
2555 3.8940809969
5002 3.0562347188
evaluations raw_y
1 1.3572204126
2 1.4723203769
11 2.0259319287
284 2.1079258010
322 2.2603978300
394 2.3992322457
502 2.4366471735
646 2.5562372188
720 2.5987525988
819 3.3875338753
1408 3.5410764873
1604 3.6231884058
1766 4.2087542088
5002 2.4752475248
evaluations raw_y
1 1.2388503469
11 1.3116474292
16 1.9260400616
119 2.1663778163
224 2.3629489603
545 2.7839643653
1069 2.8344671202
1267 2.8868360277
1426 2.9976019185
1700 3.1806615776
2033 3.3156498674
5002 1.6778523490
evaluations raw_y
1 1.3812154696
2 1.4863258026
9 1.7146776406
45 3.0562347188
1203 3.1172069825
1651 3.1806615776
2448 3.2467532468
2483 3.3875338753
3115 3.4626038781
3258 3.7091988131
3437 4.0983606557
3840 4.2087542088
5002 1.4585764294
evaluations raw_y
1 1.3691128149
6 1.5151515152
19 1.7531556802
37 1.7934002869
50 2.1079258010
156 2.2603978300
180 2.4752475248
819 2.5987525988
835 3.3875338753
1815 3.7993920973
5002 1.9500780031
evaluations raw_y
1 0.8922198430
2 0.9293680297
3 1.1478420569
5 1.6778523490
12 1.8142235123
66 2.0259319287
196 2.0525451560
299 2.2935779817
433 2.4366471735
762 2.4752475248
775 3.0562347188
3242 3.1172069825
3440 3.1806615776
3950 3.3875338753
5002 1.5151515152
evaluations raw_y
1 2.0000000000
54 2.1968365554
209 2.3992322457
712 3.4626038781
1215 3.7091988131
1754 4.0983606557
2110 4.3252595156
3248 4.5787545788
5002 1.2100677638
evaluations raw_y
1 1.1649580615
7 1.2100677638
10 1.2899896801
18 1.3227513228
19 2.2281639929
142 2.4752475248
254 2.8344671202
647 2.8868360277
648 3.3156498674
1880 3.3875338753
2061 3.8940809969
5002 3.2467532468
