evaluations raw_y
1 -484.0000000000
3 -369.0000000000
7 -275.0000000000
79 -261.0000000000
106 -241.0000000000
119 -235.0000000000
155 -222.0000000000
158 -208.0000000000
204 -154.0000000000
270 -141.0000000000
302 -101.0000000000
318 -81.0000000000
486 -68.0000000000
507 -47.0000000000
545 -35.0000000000
625 -34.0000000000
713 -14.0000000000
728 -8.0000000000
1055 -3.0000000000
1092 -2.0000000000
1111 -1.0000000000
1231 2.0000000000
1252 3.0000000000
1263 4.0000000000
1797 5.0000000000
2125 6.0000000000
3195 7.0000000000
5002 -13.0000000000
evaluations raw_y
1 -504.0000000000
2 -389.0000000000
4 -309.0000000000
5 -281.0000000000
21 -275.0000000000
35 -248.0000000000
41 -208.0000000000
63 -141.0000000000
104 -134.0000000000
156 -121.0000000000
192 -108.0000000000
215 -107.0000000000
223 -88.0000000000
262 -67.0000000000
416 -61.0000000000
455 -54.0000000000
470 -49.0000000000
506 -41.0000000000
537 -35.0000000000
541 -28.0000000000
687 -21.0000000000
767 -8.0000000000
771 -3.0000000000
841 -1.0000000000
1022 3.0000000000
1098 4.0000000000
1346 5.0000000000
1472 6.0000000000
5002 6.0000000000
evaluations raw_y
1 -403.0000000000
3 -363.0000000000
7 -329.0000000000
16 -302.0000000000
18 -262.0000000000
47 -235.0000000000
48 -215.0000000000
122 -201.0000000000
143 -195.0000000000
147 -187.0000000000
190 -181.0000000000
192 -113.0000000000
226 -100.0000000000
318 -94.0000000000
335 -88.0000000000
365 -67.0000000000
366 -54.0000000000
385 -41.0000000000
505 -29.0000000000
593 -22.0000000000
599 -16.0000000000
649 -9.0000000000
690 -3.0000000000
854 -2.0000000000
862 4.0000000000
1331 5.0000000000
2118 6.0000000000
4228 7.0000000000
5002 6.0000000000
evaluations raw_y
1 -430.0000000000
2 -234.0000000000
90 -201.0000000000
113 -194.0000000000
114 -154.0000000000
129 -147.0000000000
158 -88.0000000000
211 -67.0000000000
241 -35.0000000000
258 -15.0000000000
482 -10.0000000000
497 -2.0000000000
734 4.0000000000
1226 5.0000000000
1621 6.0000000000
2135 7.0000000000
5002 -26.0000000000
evaluations raw_y
1 -443.0000000000
2 -275.0000000000
5 -262.0000000000
69 -228.0000000000
77 -200.0000000000
84 -174.0000000000
102 -168.0000000000
118 -147.0000000000
152 -82.0000000000
244 -74.0000000000
276 -68.0000000000
328 -48.0000000000
406 -42.0000000000
417 -35.0000000000
496 -23.0000000000
535 -22.0000000000
652 -15.0000000000
685 -9.0000000000
696 -2.0000000000
842 3.0000000000
953 4.0000000000
1095 5.0000000000
2482 6.0000000000
5002 -14.0000000000
evaluations raw_y
1 -322.0000000000
5 -308.0000000000
19 -221.0000000000
70 -208.0000000000
88 -175.0000000000
105 -155.0000000000
115 -148.0000000000
169 -128.0000000000
191 -115.0000000000
197 -107.0000000000
238 -75.0000000000
302 -55.0000000000
452 -49.0000000000
466 -28.0000000000
499 -22.0000000000
551 -10.0000000000
668 5.0000000000
2029 6.0000000000
5002 6.0000000000
evaluations raw_y
1 -342.0000000000
5 -302.0000000000
7 -161.0000000000
59 -141.0000000000
70 -128.0000000000
150 -108.0000000000
183 -67.0000000000
267 -47.0000000000
310 -41.0000000000
358 -9.0000000000
447 -8.0000000000
490 4.0000000000
732 5.0000000000
924 6.0000000000
2622 7.0000000000
5002 -80.0000000000
evaluations raw_y
1 -376.0000000000
2 -322.0000000000
20 -302.0000000000
25 -275.0000000000
37 -201.0000000000
97 -174.0000000000
132 -128.0000000000
153 -81.0000000000
218 -61.0000000000
280 -28.0000000000
369 -22.0000000000
392 -15.0000000000
530 -9.0000000000
599 -2.0000000000
661 4.0000000000
740 5.0000000000
1438 6.0000000000
5002 0.0000000000
evaluations raw_y
1 -517.0000000000
2 -369.0000000000
7 -322.0000000000
15 -269.0000000000
57 -235.0000000000
119 -228.0000000000
133 -188.0000000000
215 -121.0000000000
282 -108.0000000000
324 -101.0000000000
377 -88.0000000000
403 -81.0000000000
473 -54.0000000000
499 -35.0000000000
659 -22.0000000000
665 -16.0000000000
701 -4.0000000000
772 -3.0000000000
956 4.0000000000
1425 5.0000000000
1481 6.0000000000
5002 -21.0000000000
evaluations raw_y
1 -336.0000000000
4 -322.0000000000
5 -201.0000000000
47 -188.0000000000
85 -181.0000000000
92 -174.0000000000
151 -168.0000000000
179 -135.0000000000
204 -128.0000000000
227 -108.0000000000
288 -95.0000000000
308 -75.0000000000
381 -60.0000000000
449 -29.0000000000
487 -3.0000000000
695 5.0000000000
5002 -8.0000000000
