evaluations raw_y
1 1.6960651289
33 1.9260400616
65 2.2281639929
154 2.5562372188
228 2.5987525988
693 2.6881720430
825 2.7839643653
937 3.1172069825
1277 3.2467532468
5002 3.1172069825
evaluations raw_y
1 1.1825922422
4 1.2487512488
5 1.3812154696
20 1.7146776406
35 1.8796992481
70 2.0525451560
82 2.2281639929
144 2.2603978300
237 2.3629489603
276 2.6881720430
284 2.9976019185
358 3.2467532468
5002 1.6960651289
evaluations raw_y
1 1.1916110582
2 1.7531556802
20 1.8142235123
51 2.2935779817
73 3.2467532468
162 3.3156498674
369 3.8940809969
5002 1.0692899914
evaluations raw_y
1 1.0008006405
2 1.2195121951
4 1.6600265604
9 1.7337031900
34 2.0798668885
64 3.1172069825
279 3.4626038781
1624 3.6231884058
1628 3.7091988131
1748 4.0983606557
1937 4.7169811321
5002 2.5987525988
evaluations raw_y
1 0.7617306520
2 1.3691128149
10 1.5605493134
11 1.6960651289
31 2.0525451560
33 2.1079258010
138 2.2603978300
283 2.6427061311
440 2.6881720430
778 2.9411764706
1026 3.3156498674
1882 3.5410764873
5002 1.0620220901
evaluations raw_y
1 1.0766580534
3 1.2100677638
5 1.5299877601
13 1.7730496454
38 1.8796992481
65 2.5987525988
219 2.7839643653
262 2.8344671202
613 3.0562347188
824 3.1806615776
1031 3.2467532468
4801 3.6231884058
5002 1.1394712853
evaluations raw_y
1 1.2899896801
4 1.7730496454
5 1.7934002869
57 1.8355359765
114 1.8573551263
146 2.0259319287
195 2.5562372188
276 2.5987525988
310 2.6427061311
438 2.7352297593
449 2.9411764706
884 3.3875338753
1181 3.5410764873
1912 3.6231884058
1918 3.7091988131
2479 3.7993920973
3895 3.9936102236
5002 2.2935779817
evaluations raw_y
1 0.8626639061
2 0.9944311854
3 1.2100677638
4 1.3227513228
6 1.4723203769
7 1.6960651289
27 1.7531556802
43 2.0798668885
151 2.4752475248
179 2.8344671202
261 2.9976019185
327 3.1806615776
365 3.2467532468
485 3.3156498674
1240 3.7091988131
1643 3.8940809969
2227 3.9936102236
5002 2.3629489603
evaluations raw_y
1 1.4585764294
24 1.4863258026
46 1.6778523490
53 1.7934002869
86 1.9260400616
109 2.0798668885
159 2.1079258010
165 2.4366471735
196 2.5150905433
301 2.6881720430
419 3.1172069825
707 3.2467532468
729 3.7993920973
868 3.9936102236
5002 1.8355359765
evaluations raw_y
1 1.2794268168
2 1.3340448239
4 1.8573551263
24 1.9025875190
74 2.3992322457
191 2.5562372188
290 2.5987525988
328 2.6427061311
423 3.2467532468
933 3.3156498674
1130 3.3875338753
5002 2.2281639929
