evaluations raw_y
1 -436.0000000000
3 -362.0000000000
7 -349.0000000000
9 -282.0000000000
12 -201.0000000000
186 -161.0000000000
223 -100.0000000000
271 -60.0000000000
552 -41.0000000000
743 -35.0000000000
1056 -28.0000000000
1241 -16.0000000000
1386 -8.0000000000
1695 3.0000000000
1922 4.0000000000
2589 5.0000000000
5000 -55.0000000000
evaluations raw_y
1 -470.0000000000
4 -457.0000000000
6 -443.0000000000
8 -436.0000000000
10 -329.0000000000
14 -315.0000000000
16 -309.0000000000
22 -302.0000000000
30 -222.0000000000
38 -208.0000000000
143 -195.0000000000
180 -181.0000000000
215 -180.0000000000
217 -141.0000000000
255 -128.0000000000
318 -122.0000000000
336 -74.0000000000
467 -68.0000000000
483 -42.0000000000
604 -36.0000000000
713 -17.0000000000
758 -9.0000000000
842 -3.0000000000
1043 2.0000000000
1546 3.0000000000
2000 4.0000000000
2134 5.0000000000
5000 -16.0000000000
evaluations raw_y
1 -430.0000000000
2 -248.0000000000
11 -228.0000000000
80 -201.0000000000
130 -155.0000000000
185 -148.0000000000
205 -115.0000000000
373 -94.0000000000
389 -88.0000000000
435 -49.0000000000
525 -42.0000000000
813 -36.0000000000
863 -35.0000000000
887 -34.0000000000
907 -30.0000000000
1057 -15.0000000000
1436 -3.0000000000
1615 2.0000000000
1889 3.0000000000
1927 4.0000000000
3091 5.0000000000
5000 -48.0000000000
evaluations raw_y
1 -450.0000000000
2 -255.0000000000
27 -248.0000000000
105 -194.0000000000
107 -115.0000000000
227 -101.0000000000
289 -100.0000000000
356 -75.0000000000
381 -60.0000000000
511 -48.0000000000
554 -28.0000000000
746 -22.0000000000
808 -16.0000000000
875 -15.0000000000
1036 -4.0000000000
1506 -2.0000000000
1611 2.0000000000
1638 3.0000000000
1976 5.0000000000
2753 6.0000000000
5000 -108.0000000000
evaluations raw_y
1 -450.0000000000
5 -437.0000000000
6 -355.0000000000
7 -234.0000000000
35 -215.0000000000
51 -168.0000000000
65 -148.0000000000
107 -147.0000000000
113 -121.0000000000
273 -48.0000000000
483 -35.0000000000
662 -16.0000000000
925 -8.0000000000
1082 -3.0000000000
1601 4.0000000000
2495 5.0000000000
5000 -22.0000000000
evaluations raw_y
1 -389.0000000000
2 -329.0000000000
4 -322.0000000000
9 -241.0000000000
36 -235.0000000000
120 -227.0000000000
127 -201.0000000000
152 -188.0000000000
219 -175.0000000000
298 -147.0000000000
382 -141.0000000000
396 -127.0000000000
442 -115.0000000000
483 -108.0000000000
493 -107.0000000000
534 -101.0000000000
642 -94.0000000000
659 -68.0000000000
688 -67.0000000000
921 -42.0000000000
960 -41.0000000000
1024 -35.0000000000
1061 -22.0000000000
1126 -16.0000000000
1129 3.0000000000
1448 4.0000000000
1956 5.0000000000
5000 -48.0000000000
evaluations raw_y
1 -349.0000000000
3 -241.0000000000
35 -229.0000000000
77 -201.0000000000
135 -194.0000000000
163 -188.0000000000
201 -141.0000000000
