evaluations raw_y
1 0.6589351608
2 1.1563367253
4 1.2291052114
7 2.1079258010
271 2.3277467412
1155 2.3992322457
1293 2.5150905433
2423 2.7352297593
2986 2.9976019185
3556 3.1172069825
4114 3.4626038781
4149 3.7091988131
5002 2.7839643653
evaluations raw_y
1 0.8626639061
2 1.0477787091
4 1.7146776406
20 1.7337031900
47 1.8796992481
48 2.2281639929
616 2.3629489603
908 2.3992322457
1330 2.4752475248
1369 2.5150905433
1490 2.6427061311
2087 2.6881720430
3259 2.8344671202
3831 3.1172069825
5002 3.1172069825
evaluations raw_y
1 1.0477787091
3 1.2291052114
8 1.5451174289
16 2.1079258010
46 2.2935779817
837 2.8868360277
4962 2.9411764706
5002 2.8868360277
evaluations raw_y
1 1.2794268168
2 1.6254876463
11 1.6960651289
94 1.7730496454
103 2.2603978300
622 2.2935779817
734 2.7352297593
2821 2.7839643653
3069 2.8868360277
3371 2.9411764706
3563 3.1172069825
3858 3.3875338753
4539 3.7993920973
5002 3.3875338753
evaluations raw_y
1 1.0072522160
3 1.2195121951
4 1.5451174289
11 1.5605493134
14 2.1079258010
28 2.3277467412
449 2.3992322457
450 2.6427061311
1331 2.7352297593
1582 3.1172069825
2586 3.2467532468
3131 3.7091988131
3640 3.8940809969
5002 3.7091988131
evaluations raw_y
1 1.1737089202
11 1.3572204126
12 1.3691128149
18 1.6600265604
51 2.1367521368
242 2.1968365554
457 2.3277467412
481 2.4366471735
1014 2.9411764706
2929 3.2467532468
4468 3.5410764873
5002 3.2467532468
evaluations raw_y
1 1.1150758252
3 1.3455328310
9 1.7531556802
21 1.9260400616
52 2.0000000000
72 2.0525451560
277 2.2281639929
662 2.7839643653
2179 3.0562347188
3792 3.3156498674
5002 0.6849315068
evaluations raw_y
1 0.7966857871
2 1.1563367253
3 1.5006002401
14 1.8142235123
47 1.9500780031
51 2.2281639929
203 2.2935779817
230 2.3629489603
592 2.6427061311
892 2.6881720430
1243 2.7352297593
1384 2.8868360277
2392 3.1172069825
3145 3.1806615776
4006 3.2467532468
4063 3.3875338753
4558 3.4626038781
4988 3.5410764873
5002 3.3875338753
evaluations raw_y
1 0.8821453776
2 1.3455328310
3 1.4060742407
4 1.4450867052
29 1.6600265604
46 2.0798668885
62 2.1367521368
213 2.3629489603
455 2.5150905433
629 2.6881720430
1367 2.7839643653
1818 2.8344671202
2192 3.0562347188
3536 3.1172069825
4442 3.3156498674
5002 3.1172069825
evaluations raw_y
1 1.0917030568
2 1.2899896801
4 1.4863258026
6 1.7934002869
9 1.9500780031
106 2.0798668885
420 2.1968365554
599 2.3277467412
831 2.3992322457
835 2.4366471735
1037 2.5562372188
1673 2.6881720430
1735 3.0562347188
2297 3.2467532468
3218 3.5410764873
4112 3.7993920973
5002 3.5410764873
