evaluations raw_y
1 -376.0000000000
3 -369.0000000000
8 -288.0000000000
10 -262.0000000000
41 -255.0000000000
54 -241.0000000000
56 -215.0000000000
74 -188.0000000000
81 -161.0000000000
106 -148.0000000000
130 -114.0000000000
131 -88.0000000000
164 -82.0000000000
189 -75.0000000000
193 -48.0000000000
262 -42.0000000000
296 -22.0000000000
330 -9.0000000000
459 -7.0000000000
486 -2.0000000000
533 5.0000000000
5006 -54.0000000000
evaluations raw_y
1 -403.0000000000
3 -322.0000000000
4 -281.0000000000
12 -188.0000000000
21 -128.0000000000
59 -108.0000000000
102 -107.0000000000
126 -87.0000000000
131 -68.0000000000
201 -55.0000000000
239 -21.0000000000
260 -7.0000000000
408 5.0000000000
1412 6.0000000000
5006 5.0000000000
evaluations raw_y
1 -363.0000000000
4 -295.0000000000
18 -275.0000000000
32 -215.0000000000
53 -135.0000000000
82 -128.0000000000
113 -115.0000000000
118 -96.0000000000
178 -76.0000000000
187 -49.0000000000
204 -42.0000000000
245 -35.0000000000
291 -2.0000000000
463 4.0000000000
862 5.0000000000
1914 6.0000000000
5006 -62.0000000000
evaluations raw_y
1 -362.0000000000
3 -356.0000000000
6 -282.0000000000
28 -241.0000000000
37 -228.0000000000
42 -195.0000000000
86 -181.0000000000
97 -168.0000000000
98 -154.0000000000
103 -142.0000000000
115 -141.0000000000
122 -135.0000000000
132 -134.0000000000
143 -75.0000000000
147 -68.0000000000
185 -48.0000000000
233 -28.0000000000
338 -23.0000000000
350 -15.0000000000
462 -10.0000000000
498 -9.0000000000
527 -3.0000000000
547 -2.0000000000
580 4.0000000000
948 6.0000000000
5006 -41.0000000000
evaluations raw_y
1 -416.0000000000
2 -288.0000000000
3 -268.0000000000
14 -209.0000000000
21 -181.0000000000
57 -174.0000000000
61 -154.0000000000
67 -140.0000000000
79 -134.0000000000
107 -127.0000000000
133 -115.0000000000
170 -108.0000000000
172 -100.0000000000
173 -81.0000000000
184 -74.0000000000
198 -35.0000000000
277 -22.0000000000
304 -14.0000000000
405 -9.0000000000
530 -8.0000000000
645 -4.0000000000
656 -3.0000000000
707 5.0000000000
1054 6.0000000000
5006 -133.0000000000
evaluations raw_y
1 -564.0000000000
2 -309.0000000000
8 -241.0000000000
13 -221.0000000000
15 -215.0000000000
24 -188.0000000000
25 -174.0000000000
63 -121.0000000000
101 -114.0000000000
115 -108.0000000000
132 -34.0000000000
290 -29.0000000000
294 -22.0000000000
367 -8.0000000000
640 -3.0000000000
824 -2.0000000000
888 3.0000000000
1139 4.0000000000
1249 5.0000000000
2990 6.0000000000
3638 7.0000000000
5006 -14.0000000000
evaluations raw_y
1 -369.0000000000
4 -342.0000000000
11 -295.0000000000
37 -275.0000000000
40 -248.0000000000
55 -208.0000000000
75 -188.0000000000
90 -161.0000000000
105 -101.0000000000
140 -67.0000000000
231 -61.0000000000
243 -48.0000000000
255 -35.0000000000
314 -29.0000000000
318 -21.0000000000
382 -16.0000000000
384 -15.0000000000
481 -5.0000000000
516 3.0000000000
806 4.0000000000
834 5.0000000000
2759 6.0000000000
5006 -47.0000000000
evaluations raw_y
1 -369.0000000000
8 -336.0000000000
14 -255.0000000000
24 -228.0000000000
33 -221.0000000000
41 -161.0000000000
50 -141.0000000000
99 -101.0000000000
125 -93.0000000000
157 -87.0000000000
161 -81.0000000000
162 -66.0000000000
203 -47.0000000000
249 -41.0000000000
345 -36.0000000000
374 -28.0000000000
396 -2.0000000000
544 5.0000000000
1463 6.0000000000
3307 7.0000000000
5006 -13.0000000000
evaluations raw_y
1 -592.0000000000
2 -416.0000000000
5 -356.0000000000
6 -322.0000000000
18 -248.0000000000
46 -221.0000000000
69 -175.0000000000
89 -174.0000000000
130 -161.0000000000
139 -134.0000000000
169 -128.0000000000
177 -114.0000000000
193 -81.0000000000
216 -80.0000000000
259 -47.0000000000
366 -35.0000000000
373 -16.0000000000
457 -9.0000000000
526 -2.0000000000
566 4.0000000000
896 5.0000000000
2529 6.0000000000
5006 -28.0000000000
evaluations raw_y
1 -517.0000000000
3 -497.0000000000
4 -409.0000000000
5 -349.0000000000
8 -329.0000000000
17 -295.0000000000
42 -228.0000000000
46 -168.0000000000
66 -155.0000000000
79 -154.0000000000
85 -141.0000000000
112 -81.0000000000
139 -68.0000000000
189 -67.0000000000
208 -47.0000000000
223 -34.0000000000
271 -29.0000000000
285 -9.0000000000
682 4.0000000000
855 5.0000000000
2435 6.0000000000
5006 -27.0000000000
