evaluations raw_y
1 1.1394712853
2 1.5762925599
30 1.5923566879
31 1.6778523490
35 1.9260400616
90 2.0525451560
128 2.3277467412
203 2.7839643653
241 2.8344671202
509 2.9976019185
889 3.3156498674
3493 3.8940809969
5002 3.3156498674
evaluations raw_y
1 1.5006002401
3 1.6254876463
24 2.0259319287
106 2.1663778163
112 2.1968365554
116 2.3629489603
276 2.4366471735
293 2.5150905433
305 2.5987525988
341 2.7839643653
542 2.8344671202
895 3.0562347188
2440 3.1806615776
3219 3.3156498674
3423 3.3875338753
3720 3.7091988131
4586 3.7993920973
5002 1.4450867052
evaluations raw_y
1 0.9819324430
2 1.0692899914
7 1.4863258026
10 1.6425755585
35 1.6960651289
62 1.7337031900
76 1.7531556802
104 2.0525451560
122 2.1663778163
151 2.1968365554
162 2.2281639929
184 2.3277467412
222 2.5562372188
285 2.6881720430
301 2.8344671202
329 2.9976019185
539 3.7993920973
980 3.9936102236
1121 4.0983606557
5002 2.1367521368
evaluations raw_y
1 1.0008006405
2 1.6778523490
5 2.0525451560
134 2.8344671202
763 2.9411764706
767 3.1806615776
1030 3.3156498674
1075 3.3875338753
1158 3.8940809969
1365 4.0983606557
1378 4.2087542088
5002 1.9025875190
evaluations raw_y
1 1.3007284079
2 1.4723203769
13 1.5923566879
16 1.8573551263
28 2.1968365554
83 2.2603978300
108 2.2935779817
240 2.3277467412
414 2.4752475248
462 2.9976019185
578 3.3156498674
603 3.9936102236
5002 2.3277467412
evaluations raw_y
1 1.2100677638
8 1.2388503469
13 1.3340448239
27 1.3572204126
34 1.5605493134
36 1.9260400616
62 1.9500780031
82 2.1367521368
100 2.3277467412
156 2.5150905433
263 2.6881720430
337 2.8868360277
389 3.2467532468
653 3.7993920973
5002 1.5451174289
evaluations raw_y
1 0.4718761797
2 1.5762925599
27 1.6087516088
34 1.9025875190
71 2.0000000000
92 2.0798668885
127 2.2281639929
147 2.7839643653
157 2.9411764706
481 2.9976019185
560 3.2467532468
736 3.9936102236
5002 3.0562347188
evaluations raw_y
1 0.6589351608
2 1.3340448239
7 1.4723203769
13 1.6087516088
18 1.9500780031
57 2.0259319287
91 2.2603978300
137 2.5562372188
232 2.7839643653
324 2.8868360277
436 3.0562347188
590 3.1806615776
1297 3.3156498674
1880 3.6231884058
2313 3.7091988131
2481 4.0983606557
2489 5.0200803213
5002 1.7146776406
evaluations raw_y
1 1.0841283608
2 1.4450867052
3 1.8355359765
25 2.3992322457
63 2.4752475248
92 2.8344671202
181 3.1172069825
202 3.7091988131
1507 3.8940809969
2416 3.9936102236
5002 2.8868360277
evaluations raw_y
1 1.4060742407
17 1.7730496454
43 2.2281639929
87 2.5562372188
114 2.5987525988
156 2.9976019185
240 3.0562347188
348 3.4626038781
3205 3.8940809969
5002 1.3116474292
