evaluations raw_y
1 1.0407993339
9 1.3572204126
11 1.8142235123
38 2.0259319287
78 2.0798668885
314 2.1968365554
362 2.2281639929
425 2.3992322457
493 2.4752475248
942 2.5987525988
1078 2.6881720430
1081 3.8940809969
2703 4.0983606557
4206 4.3252595156
5006 3.1806615776
evaluations raw_y
1 1.2794268168
3 1.9260400616
37 2.0259319287
128 2.3992322457
173 2.5987525988
1798 3.1172069825
3493 3.1806615776
3530 3.3875338753
5006 1.6960651289
evaluations raw_y
1 1.2291052114
2 1.8142235123
169 1.8796992481
182 1.9500780031
403 2.0000000000
470 2.1663778163
570 2.6427061311
719 2.6881720430
753 2.7839643653
1371 3.0562347188
1718 3.1806615776
1873 3.3875338753
2908 3.5410764873
4930 3.9936102236
5006 0.9881422925
evaluations raw_y
1 1.1649580615
3 1.7934002869
55 2.0259319287
124 2.0525451560
143 2.1663778163
426 2.1968365554
628 2.2281639929
654 2.3629489603
734 2.7352297593
1365 2.7839643653
1557 2.8868360277
1767 3.2467532468
5006 2.6881720430
evaluations raw_y
1 1.1312217195
3 1.2487512488
5 1.5923566879
6 2.0259319287
85 2.1663778163
356 2.3277467412
597 2.5562372188
795 2.5987525988
1464 3.3156498674
3180 3.3875338753
3492 3.6231884058
5006 1.7934002869
evaluations raw_y
1 0.8532423208
2 1.0692899914
3 1.6087516088
8 1.9500780031
56 2.1079258010
168 2.1663778163
453 2.9411764706
1703 3.1806615776
2603 3.7091988131
5006 1.6778523490
evaluations raw_y
1 0.9637625289
2 1.5006002401
8 1.6087516088
31 1.7531556802
63 1.7730496454
77 1.9025875190
86 1.9260400616
122 1.9747235387
161 2.0525451560
165 2.4366471735
624 2.5562372188
706 2.6427061311
946 4.0983606557
5006 1.9500780031
evaluations raw_y
1 1.2195121951
3 1.3116474292
16 1.4863258026
17 1.5299877601
18 1.8573551263
88 2.0259319287
118 2.2281639929
487 2.5987525988
933 2.6881720430
1150 2.9411764706
1687 3.1172069825
2137 3.1806615776
2657 3.4626038781
4471 4.3252595156
5006 1.1478420569
evaluations raw_y
1 0.9130752374
2 1.0204081633
3 1.3007284079
7 1.4863258026
24 2.1367521368
227 2.2603978300
358 2.5150905433
533 2.5562372188
1017 2.8868360277
1592 2.9411764706
2489 3.4626038781
5006 1.9260400616
evaluations raw_y
1 1.4723203769
11 1.5762925599
30 1.9747235387
45 2.2281639929
191 2.5150905433
453 2.7839643653
472 2.9411764706
961 2.9976019185
1379 3.1806615776
1455 3.6231884058
3651 3.7091988131
5006 1.3007284079
