evaluations raw_y
1 -369.0000000000
3 -261.0000000000
10 -248.0000000000
24 -214.0000000000
43 -154.0000000000
97 -147.0000000000
102 -135.0000000000
106 -95.0000000000
111 -88.0000000000
122 -67.0000000000
187 -54.0000000000
228 -34.0000000000
348 -28.0000000000
406 -22.0000000000
505 -16.0000000000
535 -15.0000000000
946 -14.0000000000
1588 -1.0000000000
1751 5.0000000000
2824 6.0000000000
5019 6.0000000000
evaluations raw_y
1 -423.0000000000
2 -402.0000000000
6 -295.0000000000
24 -288.0000000000
26 -255.0000000000
38 -228.0000000000
40 -221.0000000000
57 -201.0000000000
74 -181.0000000000
107 -174.0000000000
110 -168.0000000000
118 -147.0000000000
146 -141.0000000000
153 -134.0000000000
173 -120.0000000000
208 -115.0000000000
209 -114.0000000000
224 -94.0000000000
237 -82.0000000000
258 -81.0000000000
260 -75.0000000000
263 -67.0000000000
264 -61.0000000000
275 -40.0000000000
375 -28.0000000000
404 -21.0000000000
585 -16.0000000000
592 -15.0000000000
724 -9.0000000000
840 -2.0000000000
984 4.0000000000
1232 5.0000000000
2364 6.0000000000
5019 6.0000000000
evaluations raw_y
1 -248.0000000000
45 -202.0000000000
78 -175.0000000000
102 -155.0000000000
104 -148.0000000000
111 -142.0000000000
130 -135.0000000000
133 -122.0000000000
148 -82.0000000000
165 -81.0000000000
194 -61.0000000000
227 -41.0000000000
316 -35.0000000000
343 -28.0000000000
436 -15.0000000000
505 -9.0000000000
531 -3.0000000000
641 3.0000000000
737 4.0000000000
915 5.0000000000
5019 5.0000000000
evaluations raw_y
1 -524.0000000000
2 -470.0000000000
3 -376.0000000000
18 -356.0000000000
20 -322.0000000000
25 -241.0000000000
47 -167.0000000000
77 -154.0000000000
103 -141.0000000000
121 -127.0000000000
133 -121.0000000000
151 -115.0000000000
163 -62.0000000000
237 -35.0000000000
352 -22.0000000000
451 -16.0000000000
627 -15.0000000000
689 -10.0000000000
824 -9.0000000000
1240 -8.0000000000
1976 -2.0000000000
2216 5.0000000000
5019 5.0000000000
evaluations raw_y
1 -322.0000000000
6 -255.0000000000
23 -228.0000000000
27 -221.0000000000
69 -201.0000000000
75 -181.0000000000
83 -167.0000000000
111 -142.0000000000
133 -122.0000000000
157 -87.0000000000
162 -81.0000000000
176 -61.0000000000
237 -21.0000000000
261 -14.0000000000
290 -13.0000000000
338 -7.0000000000
419 -1.0000000000
516 4.0000000000
552 5.0000000000
5019 5.0000000000
evaluations raw_y
1 -369.0000000000
3 -322.0000000000
5 -302.0000000000
13 -214.0000000000
45 -114.0000000000
91 -95.0000000000
107 -94.0000000000
130 -87.0000000000
169 -81.0000000000
191 -74.0000000000
225 -61.0000000000
299 -54.0000000000
342 -42.0000000000
370 -35.0000000000
387 -29.0000000000
407 -28.0000000000
472 -22.0000000000
670 -16.0000000000
918 -9.0000000000
950 -3.0000000000
1212 -2.0000000000
1234 3.0000000000
1337 4.0000000000
1569 5.0000000000
2374 6.0000000000
5019 -7.0000000000
evaluations raw_y
1 -409.0000000000
2 -302.0000000000
8 -228.0000000000
46 -208.0000000000
78 -195.0000000000
81 -141.0000000000
114 -122.0000000000
164 -108.0000000000
210 -88.0000000000
261 -67.0000000000
288 -60.0000000000
329 -48.0000000000
345 -47.0000000000
373 -35.0000000000
405 -14.0000000000
786 -9.0000000000
828 -8.0000000000
978 -7.0000000000
1076 -1.0000000000
2340 5.0000000000
5019 5.0000000000
evaluations raw_y
1 -302.0000000000
18 -282.0000000000
47 -262.0000000000
55 -248.0000000000
67 -228.0000000000
73 -188.0000000000
110 -181.0000000000
169 -148.0000000000
174 -140.0000000000
177 -134.0000000000
206 -121.0000000000
221 -120.0000000000
228 -101.0000000000
234 -74.0000000000
277 -61.0000000000
286 -47.0000000000
331 -34.0000000000
382 -28.0000000000
412 -21.0000000000
413 -16.0000000000
460 -7.0000000000
491 -2.0000000000
558 -1.0000000000
570 4.0000000000
693 5.0000000000
1890 6.0000000000
5019 6.0000000000
evaluations raw_y
1 -295.0000000000
16 -288.0000000000
54 -281.0000000000
79 -268.0000000000
101 -255.0000000000
103 -147.0000000000
179 -101.0000000000
253 -94.0000000000
262 -87.0000000000
298 -74.0000000000
374 -54.0000000000
407 -47.0000000000
427 -34.0000000000
541 -15.0000000000
845 -8.0000000000
862 -2.0000000000
1430 4.0000000000
1724 5.0000000000
2247 6.0000000000
5019 6.0000000000
evaluations raw_y
1 -221.0000000000
54 -208.0000000000
58 -188.0000000000
104 -154.0000000000
113 -141.0000000000
148 -135.0000000000
198 -134.0000000000
224 -108.0000000000
282 -101.0000000000
290 -95.0000000000
297 -88.0000000000
316 -61.0000000000
413 -54.0000000000
418 -48.0000000000
467 -28.0000000000
538 -22.0000000000
592 -16.0000000000
627 -15.0000000000
643 -9.0000000000
735 -3.0000000000
777 -2.0000000000
876 3.0000000000
940 4.0000000000
1230 5.0000000000
5019 5.0000000000
