evaluations raw_y
1 0.9130752374
2 1.5451174289
16 1.9500780031
66 2.2935779817
177 2.4366471735
403 2.6427061311
590 2.8868360277
800 2.9976019185
919 3.3875338753
1265 3.5410764873
1311 3.6231884058
1609 3.7091988131
4846 3.7993920973
5004 2.2935779817
evaluations raw_y
1 1.3116474292
3 1.3812154696
4 1.6600265604
11 2.2603978300
141 2.2935779817
170 2.5562372188
436 2.5987525988
549 2.8344671202
552 2.8868360277
577 3.1806615776
607 3.3156498674
5004 3.3156498674
evaluations raw_y
1 1.9025875190
5 1.9747235387
13 2.4366471735
261 2.4752475248
288 2.8868360277
630 2.9411764706
709 3.3875338753
947 3.5410764873
977 4.0983606557
5004 4.0983606557
evaluations raw_y
1 1.2690355330
4 1.3227513228
6 1.3572204126
9 2.0000000000
81 2.0798668885
143 2.1663778163
179 2.1968365554
191 2.3629489603
224 2.4752475248
516 2.8344671202
599 2.9411764706
666 3.0562347188
698 3.2467532468
799 3.3156498674
1230 3.4626038781
1439 3.6231884058
1573 3.8940809969
5004 3.8940809969
evaluations raw_y
1 0.5480052609
2 1.0841283608
7 1.3812154696
25 1.6425755585
62 1.9500780031
65 2.0798668885
128 2.1968365554
159 2.5987525988
398 2.8868360277
814 3.0562347188
904 3.2467532468
1217 3.4626038781
1391 3.5410764873
1502 4.0983606557
5004 2.1663778163
evaluations raw_y
1 0.5137690095
2 0.8973438622
3 1.2195121951
8 1.7531556802
9 1.9025875190
11 2.3277467412
196 2.3629489603
273 2.4366471735
305 2.5562372188
505 2.8344671202
547 2.9411764706
578 3.0562347188
607 3.3875338753
1570 3.7993920973
2914 4.4483985765
5004 1.8355359765
evaluations raw_y
1 0.5617977528
2 1.1071744907
3 1.3812154696
6 1.3935340022
17 1.5006002401
43 1.6600265604
83 1.7730496454
92 2.0000000000
160 2.2281639929
340 2.5150905433
383 2.5987525988
1264 2.7839643653
1401 2.8868360277
1601 2.9411764706
1827 3.0562347188
2229 3.5410764873
5004 1.9500780031
evaluations raw_y
1 1.0008006405
2 2.1367521368
72 2.3277467412
249 2.5987525988
295 2.6881720430
461 2.8344671202
598 2.8868360277
619 3.1806615776
935 3.3156498674
1389 3.8940809969
5004 3.8940809969
evaluations raw_y
1 0.6297229219
2 1.4318442153
11 1.5006002401
14 1.8355359765
32 1.9260400616
114 2.0259319287
163 2.4366471735
201 3.1806615776
497 3.2467532468
528 3.3156498674
1792 3.4626038781
2144 3.7091988131
5004 2.1968365554
evaluations raw_y
1 1.2588116818
4 1.5923566879
13 1.6087516088
15 1.9025875190
86 2.1968365554
147 2.3277467412
228 2.4366471735
314 2.5150905433
338 2.8868360277
398 3.1806615776
825 3.7091988131
995 3.7993920973
1171 4.4483985765
5004 2.8868360277
