evaluations raw_y
1 1.4060742407
4 1.7337031900
20 2.2935779817
70 2.7352297593
225 3.1172069825
368 3.1806615776
726 3.8940809969
787 4.2087542088
5002 1.8796992481
evaluations raw_y
1 0.8771929825
2 1.1825922422
3 1.2195121951
11 1.2690355330
16 1.6778523490
20 1.9025875190
82 2.5150905433
199 3.1806615776
294 3.7091988131
529 3.7993920973
809 4.0983606557
5002 1.5151515152
evaluations raw_y
1 0.9819324430
3 1.3007284079
5 2.0000000000
107 2.0525451560
143 2.6427061311
178 3.2467532468
349 3.7993920973
3438 3.9936102236
3819 4.0983606557
5002 3.5410764873
evaluations raw_y
1 1.4585764294
14 1.5151515152
31 1.9500780031
91 2.1367521368
121 2.1968365554
254 2.2281639929
293 2.3277467412
327 2.5150905433
463 2.7352297593
493 2.8344671202
560 2.8868360277
641 3.1172069825
1082 3.1806615776
1090 3.3156498674
1139 3.7993920973
2885 3.9936102236
3259 4.4483985765
5002 2.3277467412
evaluations raw_y
1 1.1071744907
3 1.1150758252
4 1.4450867052
15 1.5605493134
18 1.6087516088
20 1.6600265604
26 1.8573551263
67 2.0259319287
68 2.0798668885
101 2.1968365554
126 2.5150905433
191 2.5987525988
235 2.8344671202
254 3.2467532468
615 3.3875338753
3466 3.4626038781
5002 1.7531556802
evaluations raw_y
1 0.6940588562
2 0.9758001561
3 1.2690355330
4 1.2794268168
6 1.3572204126
8 1.5451174289
22 2.1663778163
81 2.1968365554
100 2.2281639929
129 2.3992322457
148 2.4752475248
188 2.5562372188
242 2.7352297593
303 2.8868360277
472 3.3156498674
650 3.9936102236
5002 1.5762925599
evaluations raw_y
1 0.9578544061
2 1.3227513228
4 2.3277467412
63 2.5150905433
166 2.5562372188
197 2.5987525988
204 2.6427061311
210 3.7091988131
601 4.0983606557
603 4.3252595156
5002 1.8573551263
evaluations raw_y
1 1.0072522160
2 1.3227513228
11 1.7337031900
14 1.7730496454
16 2.3992322457
92 2.4366471735
95 2.5987525988
138 2.6881720430
141 2.7352297593
184 3.1172069825
352 3.2467532468
396 3.3875338753
464 3.5410764873
4768 3.7993920973
5002 2.0798668885
evaluations raw_y
1 2.2935779817
148 2.3629489603
149 2.9411764706
1457 2.9976019185
1739 3.1806615776
1784 3.2467532468
1962 3.5410764873
5002 1.9260400616
evaluations raw_y
1 0.7196315486
2 0.9758001561
3 1.0841283608
5 1.1737089202
6 1.5151515152
9 1.5762925599
21 2.1079258010
67 2.1367521368
84 2.1968365554
85 2.3277467412
128 2.3629489603
254 2.4366471735
374 2.5150905433
384 2.7352297593
436 2.9976019185
1047 3.0562347188
1162 3.1172069825
1203 3.3156498674
1883 3.5410764873
5002 2.3277467412
