evaluations raw_y
1 -328.0000000000
7 -302.0000000000
19 -275.0000000000
20 -241.0000000000
29 -235.0000000000
37 -214.0000000000
41 -207.0000000000
51 -201.0000000000
53 -187.0000000000
60 -181.0000000000
64 -180.0000000000
73 -140.0000000000
79 -107.0000000000
103 -80.0000000000
130 -67.0000000000
137 -54.0000000000
165 -47.0000000000
180 -41.0000000000
201 -35.0000000000
215 -22.0000000000
262 -9.0000000000
272 4.0000000000
294 5.0000000000
351 6.0000000000
5000 6.0000000000
evaluations raw_y
1 -443.0000000000
2 -349.0000000000
5 -289.0000000000
11 -255.0000000000
12 -175.0000000000
30 -128.0000000000
31 -115.0000000000
38 -95.0000000000
48 -89.0000000000
51 -88.0000000000
66 -82.0000000000
72 -68.0000000000
87 -55.0000000000
92 -48.0000000000
106 -35.0000000000
127 -29.0000000000
137 -28.0000000000
149 -15.0000000000
176 -9.0000000000
180 4.0000000000
285 5.0000000000
5000 -15.0000000000
evaluations raw_y
1 -457.0000000000
6 -450.0000000000
9 -416.0000000000
10 -309.0000000000
21 -268.0000000000
26 -242.0000000000
38 -215.0000000000
51 -195.0000000000
58 -188.0000000000
60 -162.0000000000
84 -155.0000000000
88 -142.0000000000
102 -109.0000000000
107 -82.0000000000
141 -75.0000000000
160 -68.0000000000
161 -62.0000000000
189 -49.0000000000
231 -29.0000000000
268 -23.0000000000
291 -22.0000000000
298 -15.0000000000
310 -10.0000000000
321 -9.0000000000
331 -2.0000000000
390 3.0000000000
391 4.0000000000
460 5.0000000000
5000 4.0000000000
evaluations raw_y
1 -376.0000000000
5 -369.0000000000
10 -329.0000000000
23 -322.0000000000
25 -309.0000000000
30 -228.0000000000
43 -215.0000000000
62 -188.0000000000
80 -174.0000000000
86 -161.0000000000
97 -134.0000000000
122 -114.0000000000
145 -94.0000000000
151 -88.0000000000
161 -87.0000000000
166 -74.0000000000
173 -68.0000000000
181 -55.0000000000
184 -41.0000000000
213 -36.0000000000
232 -35.0000000000
236 -28.0000000000
238 -22.0000000000
255 -16.0000000000
286 -10.0000000000
334 -4.0000000000
417 2.0000000000
439 3.0000000000
443 5.0000000000
616 6.0000000000
986 7.0000000000
5000 7.0000000000
evaluations raw_y
1 -389.0000000000
2 -349.0000000000
5 -302.0000000000
26 -275.0000000000
30 -261.0000000000
36 -255.0000000000
37 -221.0000000000
44 -214.0000000000
58 -207.0000000000
61 -201.0000000000
62 -161.0000000000
76 -121.0000000000
87 -107.0000000000
94 -101.0000000000
109 -94.0000000000
110 -81.0000000000
112 -61.0000000000
116 -48.0000000000
203 -35.0000000000
251 -29.0000000000
274 -27.0000000000
275 -22.0000000000
296 5.0000000000
5000 5.0000000000
evaluations raw_y
1 -315.0000000000
4 -302.0000000000
5 -208.0000000000
21 -174.0000000000
66 -147.0000000000
88 -134.0000000000
99 -127.0000000000
121 -120.0000000000
127 -107.0000000000
183 -100.0000000000
194 -80.0000000000
211 -74.0000000000
255 -54.0000000000
273 -47.0000000000
289 -27.0000000000
293 -14.0000000000
299 -8.0000000000
360 -2.0000000000
387 4.0000000000
460 5.0000000000
1267 6.0000000000
5000 6.0000000000
evaluations raw_y
1 -591.0000000000
2 -450.0000000000
4 -390.0000000000
5 -322.0000000000
9 -241.0000000000
23 -214.0000000000
34 -201.0000000000
46 -187.0000000000
57 -174.0000000000
61 -167.0000000000
111 -154.0000000000
116 -147.0000000000
123 -140.0000000000
130 -120.0000000000
155 -100.0000000000
221 -94.0000000000
230 -87.0000000000
232 -81.0000000000
241 -74.0000000000
248 -61.0000000000
260 -55.0000000000
283 -35.0000000000
316 -15.0000000000
357 -2.0000000000
427 -1.0000000000
482 4.0000000000
526 5.0000000000
903 6.0000000000
5000 -7.0000000000
evaluations raw_y
1 -376.0000000000
2 -308.0000000000
4 -235.0000000000
12 -228.0000000000
15 -214.0000000000
16 -187.0000000000
18 -141.0000000000
36 -121.0000000000
60 -95.0000000000
83 -75.0000000000
89 -68.0000000000
93 -55.0000000000
101 -42.0000000000
119 -29.0000000000
131 -15.0000000000
158 -9.0000000000
213 -3.0000000000
223 4.0000000000
325 5.0000000000
451 6.0000000000
5000 6.0000000000
evaluations raw_y
1 -450.0000000000
2 -404.0000000000
6 -228.0000000000
29 -221.0000000000
37 -201.0000000000
41 -194.0000000000
46 -161.0000000000
54 -154.0000000000
72 -114.0000000000
95 -108.0000000000
106 -101.0000000000
116 -75.0000000000
144 -56.0000000000
152 -49.0000000000
156 -48.0000000000
163 -36.0000000000
177 -35.0000000000
182 -23.0000000000
198 -22.0000000000
201 -10.0000000000
205 -3.0000000000
265 -2.0000000000
309 3.0000000000
322 4.0000000000
335 5.0000000000
700 6.0000000000
5000 -14.0000000000
evaluations raw_y
1 -295.0000000000
3 -221.0000000000
25 -208.0000000000
27 -161.0000000000
32 -148.0000000000
36 -114.0000000000
55 -101.0000000000
61 -88.0000000000
66 -81.0000000000
67 -75.0000000000
87 -68.0000000000
93 -61.0000000000
105 -55.0000000000
138 -48.0000000000
139 -42.0000000000
159 -36.0000000000
172 -29.0000000000
180 -16.0000000000
198 -9.0000000000
238 -3.0000000000
257 3.0000000000
325 4.0000000000
338 5.0000000000
354 6.0000000000
390 7.0000000000
5000 -40.0000000000
