evaluations raw_y
1 0.6197322757
2 1.1478420569
4 1.2690355330
5 1.5151515152
14 1.5605493134
15 1.7531556802
47 2.0000000000
60 2.0798668885
125 2.1968365554
144 2.3992322457
148 2.4752475248
196 2.5562372188
254 2.5987525988
264 2.6427061311
352 2.7352297593
434 2.8344671202
1583 3.2467532468
1901 3.7091988131
2081 4.2087542088
5002 1.5762925599
evaluations raw_y
1 1.3812154696
2 1.7337031900
15 1.8573551263
19 1.9747235387
44 2.2281639929
85 2.6881720430
126 2.9411764706
171 3.3156498674
181 3.3875338753
5002 3.3875338753
evaluations raw_y
1 0.9025270758
2 1.0548523207
3 1.2100677638
7 1.3227513228
18 1.7730496454
74 1.8142235123
84 1.9500780031
118 2.1079258010
157 2.3629489603
179 2.4752475248
208 3.2467532468
428 3.6231884058
5002 1.3007284079
evaluations raw_y
1 0.8048937540
2 1.0137875101
4 1.1312217195
10 1.4723203769
11 1.4863258026
12 1.7337031900
31 1.7531556802
49 1.7934002869
56 2.2281639929
108 2.2603978300
206 2.2935779817
232 2.4366471735
352 2.5150905433
369 2.5987525988
388 2.7839643653
455 3.3156498674
1110 3.6231884058
1334 3.7091988131
1467 3.8940809969
5002 1.4450867052
evaluations raw_y
1 0.8305647841
2 1.0692899914
3 1.7146776406
29 1.7337031900
32 2.0798668885
92 3.1172069825
218 3.4626038781
598 3.5410764873
750 3.6231884058
1178 3.9936102236
5002 3.1172069825
evaluations raw_y
1 1.4585764294
3 1.6425755585
31 2.2281639929
175 2.4366471735
212 2.6427061311
341 2.8344671202
440 2.8868360277
463 3.0562347188
607 3.3875338753
650 3.8940809969
5002 3.1172069825
evaluations raw_y
1 1.1563367253
4 1.9260400616
13 2.0798668885
90 2.1367521368
99 2.5562372188
189 2.6881720430
331 3.0562347188
5002 2.2935779817
evaluations raw_y
1 1.5451174289
17 1.6087516088
33 1.6425755585
53 1.7934002869
67 1.8355359765
71 1.9025875190
92 1.9747235387
97 2.0798668885
178 2.2935779817
181 2.8344671202
303 2.8868360277
535 3.0562347188
913 3.1806615776
977 3.2467532468
1023 3.3875338753
1091 3.4626038781
1150 3.6231884058
1203 3.7091988131
1624 3.7993920973
2718 3.9936102236
5002 2.1079258010
evaluations raw_y
1 1.1563367253
2 1.2794268168
7 1.3455328310
21 1.3935340022
31 1.7730496454
58 1.8796992481
78 1.9500780031
88 2.1079258010
141 2.3629489603
226 2.4752475248
271 3.1806615776
303 3.2467532468
569 3.3875338753
587 3.9936102236
5002 1.7337031900
evaluations raw_y
1 0.9944311854
4 1.1916110582
6 1.2690355330
10 1.3116474292
12 1.7337031900
25 1.8142235123
51 1.9747235387
96 2.1663778163
113 2.4752475248
152 2.5562372188
241 2.6881720430
316 2.8344671202
326 3.4626038781
375 3.7993920973
5002 3.0562347188
