evaluations raw_y
1 0.8048937540
2 0.8674531575
3 0.9293680297
4 1.6425755585
26 2.1367521368
195 2.3629489603
1675 2.5987525988
3353 2.8868360277
5025 2.3992322457
evaluations raw_y
1 0.9349289454
2 1.1825922422
4 1.5923566879
31 1.6425755585
39 2.1367521368
507 2.9976019185
5025 0.8132726090
evaluations raw_y
1 1.5006002401
2 1.6425755585
21 1.9260400616
50 2.1079258010
404 2.3629489603
1311 2.4752475248
3116 2.5987525988
4884 2.9976019185
5025 1.0993843448
evaluations raw_y
1 1.8142235123
4 1.9260400616
162 2.7839643653
5025 1.0008006405
evaluations raw_y
1 0.7196315486
2 1.9025875190
39 2.2281639929
503 2.3992322457
560 2.5562372188
2402 2.6427061311
4240 4.3252595156
5025 1.4060742407
evaluations raw_y
1 0.6561679790
2 0.8048937540
3 1.0917030568
4 1.9500780031
196 2.2281639929
247 2.2935779817
454 2.3992322457
1351 2.5987525988
1968 2.7839643653
5025 1.3455328310
evaluations raw_y
1 1.4060742407
3 1.6600265604
21 1.6778523490
37 1.8573551263
115 1.8796992481
151 2.0259319287
381 2.1663778163
416 2.2281639929
848 2.7352297593
2495 2.7839643653
4325 2.9976019185
5025 1.4060742407
evaluations raw_y
1 1.5006002401
5 1.6087516088
36 1.6960651289
50 1.9747235387
505 2.1968365554
1152 2.2281639929
1247 2.2935779817
1359 2.3629489603
1472 2.5987525988
3042 2.6427061311
4323 2.6881720430
5025 1.2794268168
evaluations raw_y
1 1.3935340022
8 2.0798668885
145 2.1663778163
329 2.1968365554
488 2.5150905433
2237 2.6427061311
5025 0.8048937540
evaluations raw_y
1 1.2487512488
2 1.3572204126
7 1.7337031900
12 2.0000000000
172 2.0259319287
179 2.1663778163
637 2.3629489603
1303 2.4366471735
2466 3.1172069825
5025 1.0766580534
