evaluations raw_y
1 1.4060742407
3 1.6778523490
16 1.6960651289
54 2.1079258010
162 2.6427061311
290 2.8868360277
327 2.9411764706
594 2.9976019185
831 3.1172069825
1084 3.6231884058
1236 3.8940809969
5002 1.4450867052
evaluations raw_y
1 1.0008006405
2 1.2195121951
3 1.3116474292
4 1.3812154696
5 1.4723203769
14 2.0525451560
127 2.2935779817
167 2.4752475248
180 2.5150905433
244 2.6427061311
479 3.0562347188
664 3.1172069825
1334 3.2467532468
5002 3.2467532468
evaluations raw_y
1 0.8007687380
2 1.0271158587
4 1.4450867052
8 1.6254876463
36 2.0259319287
69 2.5987525988
422 3.3156498674
474 3.7091988131
914 3.9936102236
1140 4.2087542088
5002 1.9500780031
evaluations raw_y
1 1.2899896801
3 1.3572204126
7 1.5762925599
13 1.7730496454
66 1.8355359765
71 2.0000000000
86 2.3277467412
120 2.6427061311
267 2.6881720430
334 2.7352297593
407 2.8868360277
424 3.2467532468
880 3.4626038781
1345 3.7091988131
1510 4.0983606557
5002 2.9976019185
evaluations raw_y
1 1.1563367253
3 1.5923566879
5 1.6087516088
26 1.6425755585
27 1.8796992481
31 2.3629489603
113 2.4752475248
188 2.7352297593
202 2.8344671202
453 3.3156498674
2169 3.3875338753
2759 3.7091988131
5002 1.5762925599
evaluations raw_y
1 1.7337031900
3 1.7934002869
56 1.8142235123
83 1.9025875190
138 1.9747235387
141 2.3992322457
315 2.4752475248
577 2.5562372188
609 2.6881720430
899 2.8344671202
1126 3.1806615776
1428 3.2467532468
1503 3.3875338753
2090 3.4626038781
2568 3.5410764873
3584 3.7091988131
5002 1.6600265604
evaluations raw_y
1 0.9881422925
2 1.1916110582
7 1.5006002401
10 1.5762925599
40 1.9260400616
87 1.9500780031
99 2.2281639929
173 2.3629489603
316 2.5562372188
468 2.6427061311
554 2.7839643653
683 3.0562347188
803 3.5410764873
5002 1.8573551263
evaluations raw_y
1 0.7966857871
2 0.8218277449
3 1.2291052114
5 1.2388503469
14 1.3116474292
21 1.3572204126
22 1.5605493134
38 2.0525451560
76 2.3992322457
160 2.4366471735
244 2.4752475248
286 2.5562372188
304 2.8344671202
541 2.9976019185
657 3.3875338753
793 3.7091988131
920 3.7993920973
1176 3.8940809969
5002 1.0477787091
evaluations raw_y
1 1.6254876463
2 1.8142235123
4 1.9747235387
45 2.0798668885
124 2.2603978300
141 2.2935779817
321 2.5562372188
430 2.6881720430
491 2.9976019185
668 3.3875338753
1280 3.5410764873
1696 3.7091988131
1988 3.7993920973
5002 1.9260400616
evaluations raw_y
1 0.8486082824
2 1.3116474292
4 1.3455328310
19 1.4318442153
25 1.4723203769
36 1.5451174289
38 1.7730496454
72 1.8573551263
117 2.0798668885
130 2.1968365554
241 2.2603978300
473 2.3992322457
542 2.9411764706
779 3.4626038781
5002 1.0271158587
