evaluations raw_y
1 0.7692307692
3 2.1079258010
78 2.3629489603
1270 2.5150905433
1508 2.8344671202
1894 3.0562347188
5013 1.2291052114
evaluations raw_y
1 1.0407993339
3 1.2588116818
5 1.2899896801
7 1.4450867052
10 1.6960651289
26 1.9025875190
118 1.9747235387
248 2.3992322457
311 3.0562347188
4612 3.1172069825
5013 1.2487512488
evaluations raw_y
1 1.5605493134
5 1.7337031900
51 1.8796992481
113 2.2281639929
685 2.3629489603
837 2.4752475248
1610 2.5987525988
3426 2.8344671202
4511 2.9411764706
5013 0.9520182788
evaluations raw_y
1 0.8261731659
2 1.1916110582
4 1.6960651289
10 1.7934002869
46 2.2603978300
475 2.7352297593
2189 2.7839643653
2587 2.9411764706
5013 1.4723203769
evaluations raw_y
1 1.2588116818
4 1.4450867052
5 1.8355359765
29 2.1968365554
175 2.2603978300
829 2.3277467412
843 2.3629489603
1686 2.4366471735
1828 2.7352297593
2235 2.8344671202
5013 1.1394712853
evaluations raw_y
1 1.0339123242
4 1.5299877601
16 2.1968365554
377 2.3629489603
542 2.3992322457
766 2.4752475248
2553 2.5150905433
2702 2.6881720430
3825 2.7352297593
4854 2.9976019185
5013 1.1150758252
evaluations raw_y
1 0.5983724270
2 1.0692899914
5 1.0841283608
7 1.1563367253
8 1.3935340022
12 1.4318442153
16 1.7730496454
44 1.8573551263
109 2.6427061311
3539 3.0562347188
5013 1.3935340022
evaluations raw_y
1 0.9697439876
3 1.2388503469
8 1.7730496454
74 1.9747235387
101 2.3277467412
1265 2.8868360277
5013 1.6778523490
evaluations raw_y
1 0.8973438622
2 1.3227513228
3 1.3340448239
12 1.3935340022
14 1.4188422247
15 1.6778523490
47 1.7531556802
68 2.3629489603
1241 2.7352297593
1544 3.0562347188
5013 1.0841283608
evaluations raw_y
1 1.0339123242
3 1.4318442153
8 1.5299877601
25 1.8142235123
40 2.0259319287
137 2.0525451560
358 2.3629489603
2281 2.6881720430
5013 2.5562372188
