evaluations raw_y
1 1.3007284079
4 1.7531556802
13 1.8142235123
92 1.9747235387
116 2.5987525988
165 2.6881720430
246 2.9411764706
388 3.3875338753
706 3.8940809969
772 3.9936102236
1916 4.0983606557
5000 2.1367521368
evaluations raw_y
1 1.3455328310
2 1.3572204126
4 1.3812154696
7 1.5605493134
42 1.6087516088
63 1.8796992481
102 2.0000000000
128 2.0798668885
151 2.2935779817
153 2.3992322457
165 2.5150905433
182 2.5562372188
210 2.6427061311
216 2.9411764706
221 3.0562347188
226 3.3156498674
5000 2.6881720430
evaluations raw_y
1 1.2195121951
7 1.2899896801
22 1.5451174289
24 1.7730496454
62 1.8355359765
119 1.9025875190
125 1.9500780031
168 2.0000000000
183 2.2603978300
230 2.2935779817
249 2.4752475248
267 2.7352297593
349 2.8868360277
2234 3.1172069825
2497 3.2467532468
4371 3.6231884058
4465 3.7091988131
5000 3.7091988131
evaluations raw_y
1 0.8090614887
2 1.1150758252
3 1.7934002869
60 1.8142235123
64 2.2935779817
126 2.4752475248
136 2.5150905433
192 2.7839643653
843 2.8344671202
2603 3.1172069825
2730 3.1806615776
5000 2.4752475248
evaluations raw_y
1 1.1649580615
2 1.6600265604
5 1.6960651289
7 1.8142235123
20 2.1079258010
52 2.1367521368
64 2.2603978300
109 2.2935779817
192 2.3629489603
206 2.3992322457
234 2.4366471735
268 2.4752475248
284 2.7352297593
306 2.9411764706
380 3.0562347188
397 3.9936102236
5000 3.9936102236
evaluations raw_y
1 0.8771929825
2 1.3935340022
3 2.0525451560
75 2.1663778163
116 2.5987525988
171 3.2467532468
186 3.4626038781
2776 3.9936102236
2957 4.2087542088
3153 4.4483985765
5000 2.5562372188
evaluations raw_y
1 1.1737089202
3 1.3340448239
4 1.6778523490
35 2.0259319287
104 2.0525451560
164 2.1968365554
204 2.6427061311
249 2.7352297593
405 2.8868360277
428 3.1172069825
433 3.3875338753
5000 2.7352297593
evaluations raw_y
1 0.9881422925
2 1.0137875101
3 1.1230907457
5 1.2007684918
6 1.2899896801
11 1.5605493134
13 1.5762925599
21 1.7146776406
48 1.7730496454
57 2.0798668885
133 2.2603978300
195 2.6881720430
197 2.7839643653
666 2.9411764706
731 2.9976019185
760 3.0562347188
1189 3.3156498674
1254 3.4626038781
1297 3.7993920973
1890 3.9936102236
5000 3.9936102236
evaluations raw_y
1 1.3340448239
5 1.4585764294
8 1.9025875190
86 1.9500780031
106 2.0259319287
126 2.2603978300
171 2.3277467412
187 2.3992322457
195 2.7839643653
200 2.9976019185
262 3.1806615776
610 3.7993920973
5000 3.7993920973
evaluations raw_y
1 0.8821453776
2 1.4188422247
8 1.5923566879
31 1.9025875190
90 2.0259319287
115 2.1663778163
119 2.3629489603
192 2.7839643653
256 2.8868360277
292 3.3156498674
1508 3.5410764873
5000 2.3992322457
